session,group,type,channel,trial,fBeat,modSNR,modIndex,nBeatCycles,deepNull,modSNR_baseline,modSNR_matched,sigSurr,included
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,1,5,NaN,NaN,1.99,NaN,NaN,NaN,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,2,5,NaN,NaN,1.09,NaN,NaN,NaN,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,3,5,NaN,NaN,1.24,NaN,NaN,NaN,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,4,5,NaN,NaN,1.15,NaN,NaN,NaN,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,5,5,NaN,NaN,1.42,NaN,NaN,NaN,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,6,5,NaN,NaN,0.87,NaN,NaN,NaN,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,7,5,NaN,NaN,0.71,NaN,NaN,NaN,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,8,5,NaN,NaN,0.98,NaN,NaN,NaN,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,9,5,NaN,NaN,0.54,NaN,NaN,NaN,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,10,5,NaN,NaN,0.53,NaN,NaN,NaN,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,11,5,NaN,NaN,1.12,NaN,NaN,NaN,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,12,5,NaN,NaN,1.27,NaN,NaN,NaN,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,13,5,NaN,NaN,1.59,NaN,NaN,NaN,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,14,5,NaN,NaN,1.26,NaN,NaN,NaN,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,15,5,NaN,NaN,0.74,NaN,NaN,NaN,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,16,5,NaN,NaN,0.73,NaN,NaN,NaN,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,17,5,NaN,NaN,0.95,NaN,NaN,NaN,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,18,5,NaN,NaN,0.65,NaN,NaN,NaN,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,19,5,NaN,NaN,1.25,NaN,NaN,NaN,0,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,20,5,NaN,NaN,0.71,NaN,NaN,NaN,0,0
