group,category,subject,medPeakBurst,medRidgeBurst
OBE,start,250225_OBE_NWU_AS_4,556,3628
OBE,free,250225_OBE_NWU_AS_4,546,3338
OBE,confirm,250225_OBE_NWU_AS_4,535,3580
DupiS1,start,250623_Dupi_NMH_KS_1,566,2602
DupiS1,free,250623_Dupi_NMH_KS_1,578,2728
DupiS1,confirm,250623_Dupi_NMH_KS_1,688,2812
DupiS2,start,250623_Dupi_NMH_KS_2,507,893
DupiS2,free,250623_Dupi_NMH_KS_2,396,897
DupiS2,confirm,250623_Dupi_NMH_KS_2,450,1476
DupiS2,start,250811_Dupi_NMH_TB_2,452,2528
DupiS2,free,250811_Dupi_NMH_TB_2,516,2885
DupiS2,confirm,250811_Dupi_NMH_TB_2,670,2722
DupiS1,start,250811_Dupi_NMH_TPB_1,364,701
DupiS1,free,250811_Dupi_NMH_TPB_1,416,1253
DupiS1,confirm,250811_Dupi_NMH_TPB_1,314,872
DupiS1,start,250818_Dupi_NMH_JH_1,322,1420
DupiS1,free,250818_Dupi_NMH_JH_1,520,2152
DupiS1,confirm,250818_Dupi_NMH_JH_1,520,1788
DupiS2,start,250818_Dupi_NMH_JH_2,400,2548
DupiS2,free,250818_Dupi_NMH_JH_2,561,2827
DupiS2,confirm,250818_Dupi_NMH_JH_2,595,2821
DupiS3,start,250818_Dupi_NMH_JH_3,524,1830
DupiS3,free,250818_Dupi_NMH_JH_3,510,2954
DupiS3,confirm,250818_Dupi_NMH_JH_3,478,1394
OBE,start,250904_OBE_NWU_TI_1,656,2404
OBE,free,250904_OBE_NWU_TI_1,535,2997
OBE,confirm,250904_OBE_NWU_TI_1,591,2908
OBE,start,250908_OBE_NWU_AS,852,4000
OBE,free,250908_OBE_NWU_AS,716,4000
OBE,confirm,250908_OBE_NWU_AS,833,3979
DupiS1,start,250929_Dupi_NMH_GH_1,515,1450
DupiS1,free,250929_Dupi_NMH_GH_1,490,3181
DupiS1,confirm,250929_Dupi_NMH_GH_1,476,1584
DupiS2,start,250929_Dupi_NMH_GH_2,574,1472
DupiS2,free,250929_Dupi_NMH_GH_2,492,2783
DupiS2,confirm,250929_Dupi_NMH_GH_2,462,1986
DupiS1,start,251002_Dupi_NMH_AB_1,642,2352
DupiS1,free,251002_Dupi_NMH_AB_1,550,2597
DupiS1,confirm,251002_Dupi_NMH_AB_1,630,2998
DupiS2,start,251002_Dupi_NMH_AB_2,612,2726
DupiS2,free,251002_Dupi_NMH_AB_2,571,3079
DupiS2,confirm,251002_Dupi_NMH_AB_2,570,3364
OBE,start,251006_OBE_NWU_RY_1,589,3422
OBE,free,251006_OBE_NWU_RY_1,538,2870
OBE,confirm,251006_OBE_NWU_RY_1,794,3548
OBE,start,251009_OBE_NWU_CP_1,412,1224
OBE,free,251009_OBE_NWU_CP_1,462,2544
OBE,confirm,251009_OBE_NWU_CP_1,528,1328
DupiS2,start,251013_Dupi_NMH_JN_2,460,1555
DupiS2,free,251013_Dupi_NMH_JN_2,542,2348
DupiS2,confirm,251013_Dupi_NMH_JN_2,521,2242
DupiS1,start,251027_Dupi_NMH_DL_1,368,1374
DupiS1,free,251027_Dupi_NMH_DL_1,410,3218
DupiS1,confirm,251027_Dupi_NMH_DL_1,430,1864
DupiS1,start,251030_Dupi_NMH_DB_1,577,2052
DupiS1,free,251030_Dupi_NMH_DB_1,488,1870
DupiS2,start,251030_Dupi_NMH_DB_2,486,2705
DupiS2,free,251030_Dupi_NMH_DB_2,560,2750
DupiS2,confirm,251030_Dupi_NMH_DB_2,534,3068
DupiS1,start,251110_Dupi_NMH_PC_1,445,1871
DupiS1,free,251110_Dupi_NMH_PC_1,564,2634
DupiS1,confirm,251110_Dupi_NMH_PC_1,680,2364
DupiS2,start,251110_Dupi_NMH_PC_2,478,2008
DupiS2,free,251110_Dupi_NMH_PC_2,560,2381
DupiS2,confirm,251110_Dupi_NMH_PC_2,483,2725
DupiS1,start,251120_Dupi_NMH_JL_1,480,2174
DupiS1,free,251120_Dupi_NMH_JL_1,621,2375
DupiS1,confirm,251120_Dupi_NMH_JL_1,421,1777
DupiS2,start,251120_Dupi_NMH_JL_2,576,1948
DupiS2,free,251120_Dupi_NMH_JL_2,499,1824
DupiS2,confirm,251120_Dupi_NMH_JL_2,412,1672
OBE,start,251208_OBE_NWU_SP_1,564,2936
OBE,free,251208_OBE_NWU_SP_1,634,3202
OBE,confirm,251208_OBE_NWU_SP_1,568,2980
OBE,start,260105_OBE_NWU_ZF_1,592,2524
OBE,free,260105_OBE_NWU_ZF_1,498,3102
OBE,confirm,260105_OBE_NWU_ZF_1,546,2870
