group,category,subject,medPeakBurst,medRidgeBurst
OBE,hit,230611_OBE_NMH_AZ,400,2538
OBE,cr,230611_OBE_NMH_AZ,480,3096
OBE,hit,240923_OBE_NMH_HRM,453,2727
OBE,cr,240923_OBE_NMH_HRM,554,3390
OBE,hit,241017_OBE_NMH_AS,677,3886
OBE,cr,241017_OBE_NMH_AS,621,3247
OBE,hit,250310_OBE_NMH_FS,824,3202
OBE,cr,250310_OBE_NMH_FS,565,2238
OBE,hit,250313_OBE_NMH_CS,660,3484
OBE,cr,250313_OBE_NMH_CS,697,4000
DupiS1,hit,250623_Dupi_NMH_KS_1,610,2142
DupiS1,cr,250623_Dupi_NMH_KS_1,704,2202
DupiS2,hit,250623_Dupi_NMH_KS_2,504,1948
DupiS2,cr,250623_Dupi_NMH_KS_2,466,1916
DupiS3,cr,250623_Dupi_NMH_KS_3,490,2152
DupiS2,hit,250811_Dupi_NMH_TB_2,491,1745
DupiS2,cr,250811_Dupi_NMH_TB_2,466,2666
DupiS3,hit,250811_Dupi_NMH_TB_3,762,948
DupiS3,cr,250811_Dupi_NMH_TB_3,564,2954
DupiS1,cr,250811_Dupi_NMH_TPB_1,540,1914
DupiS1,cr,250818_Dupi_NMH_JH_1,514,2380
DupiS2,hit,250818_Dupi_NMH_JH_2,550,2271
DupiS2,cr,250818_Dupi_NMH_JH_2,653,2859
DupiS3,hit,250818_Dupi_NMH_JH_3,502,2478
DupiS3,cr,250818_Dupi_NMH_JH_3,582,2665
DupiS1,hit,250929_Dupi_NMH_GH_1,351,1058
DupiS1,cr,250929_Dupi_NMH_GH_1,430,1458
DupiS2,hit,250929_Dupi_NMH_GH_2,312,2402
DupiS2,cr,250929_Dupi_NMH_GH_2,402,849
DupiS3,hit,250929_Dupi_NMH_GH_3,412,1307
DupiS3,cr,250929_Dupi_NMH_GH_3,398,1014
DupiS1,cr,251002_Dupi_NMH_AB_1,554,2036
DupiS2,hit,251002_Dupi_NMH_AB_2,508,3742
DupiS2,cr,251002_Dupi_NMH_AB_2,569,2748
DupiS3,hit,251002_Dupi_NMH_AB_3,798,3200
DupiS3,cr,251002_Dupi_NMH_AB_3,678,3247
DupiS2,hit,251013_Dupi_NMH_JN_2,482,1515
DupiS2,cr,251013_Dupi_NMH_JN_2,469,1592
DupiS3,cr,251013_Dupi_NMH_JN_3,600,4000
DupiS1,cr,251027_Dupi_NMH_DL_1,566,2834
DupiS1,cr,251030_Dupi_NMH_DB_1,444,1688
DupiS2,hit,251030_Dupi_NMH_DB_2,550,3221
DupiS2,cr,251030_Dupi_NMH_DB_2,550,3474
DupiS1,hit,251110_Dupi_NMH_PC_1,556,1655
DupiS1,cr,251110_Dupi_NMH_PC_1,476,2392
DupiS2,hit,251110_Dupi_NMH_PC_2,693,3068
DupiS2,cr,251110_Dupi_NMH_PC_2,531,2634
DupiS1,cr,251120_Dupi_NMH_JL_1,432,1744
DupiS2,cr,251120_Dupi_NMH_JL_2,488,1848
OBE,hit,260326_OBE_NWU_AD_2,528,3588
OBE,cr,260326_OBE_NWU_AD_2,550,3856
DupiS1,cr,260406_Dupi_NMH_BS_1,466,2548
DupiS2,hit,260406_Dupi_NMH_BS_2,438,836
DupiS2,cr,260406_Dupi_NMH_BS_2,476,1026
DupiS1,hit,260504_Dupi_NMH_JA_1,676,3000
DupiS1,cr,260504_Dupi_NMH_JA_1,570,2048
OBE,hit,260514_OBE_NWU_BW_1,641,3874
OBE,cr,260514_OBE_NWU_BW_1,802,4000
