group,category,subject,medPeakBurst,medRidgeBurst
DupiS1,air,250623_Dupi_NMH_KS_1,676,3870
DupiS1,low,250623_Dupi_NMH_KS_1,522,3398
DupiS1,med,250623_Dupi_NMH_KS_1,652,3974
DupiS2,air,250623_Dupi_NMH_KS_2,592,2574
DupiS2,low,250623_Dupi_NMH_KS_2,588,2893
DupiS2,med,250623_Dupi_NMH_KS_2,538,2946
DupiS3,air,250623_Dupi_NMH_KS_3,558,1708
DupiS3,low,250623_Dupi_NMH_KS_3,540,1612
DupiS3,med,250623_Dupi_NMH_KS_3,516,1662
DupiS2,air,250811_Dupi_NMH_TB_2,604,2715
DupiS2,low,250811_Dupi_NMH_TB_2,413,1815
DupiS2,med,250811_Dupi_NMH_TB_2,574,2632
DupiS3,air,250811_Dupi_NMH_TB_3,479,2826
DupiS3,low,250811_Dupi_NMH_TB_3,512,4000
DupiS3,med,250811_Dupi_NMH_TB_3,534,3468
DupiS1,air,250811_Dupi_NMH_TPB_1,775,4000
DupiS1,low,250811_Dupi_NMH_TPB_1,513,3364
DupiS1,med,250811_Dupi_NMH_TPB_1,790,4000
DupiS1,air,250818_Dupi_NMH_JH_1,598,2654
DupiS1,low,250818_Dupi_NMH_JH_1,636,1996
DupiS1,med,250818_Dupi_NMH_JH_1,647,2236
DupiS2,air,250818_Dupi_NMH_JH_2,443,1509
DupiS2,low,250818_Dupi_NMH_JH_2,496,1716
DupiS2,med,250818_Dupi_NMH_JH_2,336,1322
DupiS3,air,250818_Dupi_NMH_JH_3,588,2996
DupiS3,low,250818_Dupi_NMH_JH_3,702,2452
DupiS3,med,250818_Dupi_NMH_JH_3,608,3190
DupiS1,air,250929_Dupi_NMH_GH_1,338,642
DupiS1,low,250929_Dupi_NMH_GH_1,470,1296
DupiS1,med,250929_Dupi_NMH_GH_1,489,1538
DupiS2,air,250929_Dupi_NMH_GH_2,559,918
DupiS2,low,250929_Dupi_NMH_GH_2,511,2367
DupiS2,med,250929_Dupi_NMH_GH_2,436,3186
DupiS3,air,250929_Dupi_NMH_GH_3,444,960
DupiS3,low,250929_Dupi_NMH_GH_3,362,1296
DupiS3,med,250929_Dupi_NMH_GH_3,376,1076
DupiS1,air,251002_Dupi_NMH_AB_1,738,3502
DupiS1,low,251002_Dupi_NMH_AB_1,706,2817
DupiS1,med,251002_Dupi_NMH_AB_1,684,4000
DupiS2,air,251002_Dupi_NMH_AB_2,548,1664
DupiS2,low,251002_Dupi_NMH_AB_2,637,3255
DupiS2,med,251002_Dupi_NMH_AB_2,664,3362
DupiS3,air,251002_Dupi_NMH_AB_3,610,3542
DupiS3,low,251002_Dupi_NMH_AB_3,698,3282
DupiS3,med,251002_Dupi_NMH_AB_3,862,3232
DupiS2,air,251013_Dupi_NMH_JN_2,626,3020
DupiS2,low,251013_Dupi_NMH_JN_2,612,4000
DupiS2,med,251013_Dupi_NMH_JN_2,598,3438
DupiS3,air,251013_Dupi_NMH_JN_3,508,2702
DupiS3,low,251013_Dupi_NMH_JN_3,576,2982
DupiS3,med,251013_Dupi_NMH_JN_3,494,2702
DupiS1,air,251027_Dupi_NMH_DL_1,575,2629
DupiS1,low,251027_Dupi_NMH_DL_1,390,1940
DupiS1,med,251027_Dupi_NMH_DL_1,492,2636
DupiS1,air,251030_Dupi_NMH_DB_1,474,1296
DupiS1,low,251030_Dupi_NMH_DB_1,438,2408
DupiS1,med,251030_Dupi_NMH_DB_1,547,2433
DupiS2,air,251030_Dupi_NMH_DB_2,614,3491
DupiS2,low,251030_Dupi_NMH_DB_2,540,3470
DupiS2,med,251030_Dupi_NMH_DB_2,512,3574
DupiS1,air,251110_Dupi_NMH_PC_1,774,2922
DupiS1,low,251110_Dupi_NMH_PC_1,618,3037
DupiS1,med,251110_Dupi_NMH_PC_1,686,3382
DupiS2,air,251110_Dupi_NMH_PC_2,446,3102
DupiS2,low,251110_Dupi_NMH_PC_2,804,3376
DupiS2,med,251110_Dupi_NMH_PC_2,488,2837
DupiS1,air,251120_Dupi_NMH_JL_1,426,1540
DupiS1,low,251120_Dupi_NMH_JL_1,402,1448
DupiS1,med,251120_Dupi_NMH_JL_1,519,1689
DupiS2,air,251120_Dupi_NMH_JL_2,532,3698
DupiS2,low,251120_Dupi_NMH_JL_2,656,2714
DupiS2,med,251120_Dupi_NMH_JL_2,540,3120
DupiS1,air,260316_Dupi_NMH_PD_1,597,2820
DupiS1,low,260316_Dupi_NMH_PD_1,701,3924
DupiS1,med,260316_Dupi_NMH_PD_1,680,2650
DupiS1,air,260406_Dupi_NMH_BS_1,574,709
DupiS1,low,260406_Dupi_NMH_BS_1,640,1220
DupiS1,med,260406_Dupi_NMH_BS_1,363,578
DupiS2,air,260406_Dupi_NMH_BS_2,578,1846
DupiS2,low,260406_Dupi_NMH_BS_2,538,1338
DupiS2,med,260406_Dupi_NMH_BS_2,720,3630
DupiS1,air,260504_Dupi_NMH_JA_1,716,3338
DupiS1,low,260504_Dupi_NMH_JA_1,582,3674
DupiS1,med,260504_Dupi_NMH_JA_1,612,3172
OBE,air,260514_OBE_NWU_BW_1,637,3871
OBE,low,260514_OBE_NWU_BW_1,816,4000
OBE,med,260514_OBE_NWU_BW_1,490,3372
