session,group,type,channel,trial,nAtomsSig,trajConnectivity,classification,c1,dBIC,f1,f2,tSep,overlap,included
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,1,0,NaN,ambig,NaN,NaN,NaN,NaN,NaN,NaN,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,2,1,1,ambig,22.8572257874179,-1.32915070492012,34.7584561437588,34.7584561437588,0,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,3,1,1,ambig,4.25410610529361,-5.55964365470476,37.4614235027616,37.4614235027616,0,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,4,2,NaN,ambig,9.05238453572838,7.37506669502324,33.3112529160014,42.042872015423,0.0443591007626031,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,5,1,1,ambig,22.08516813209,-6.68458838865859,38.3061061596837,38.3061061596837,0,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,6,2,NaN,ambig,-24.2940946687026,1.81092712158222,49.3771051970541,35.0852564556147,0.0525071688706591,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,7,0,NaN,ambig,NaN,NaN,NaN,NaN,NaN,NaN,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,8,1,1,single,-5.09974112697319,-6.22416775830536,42.0604923284051,42.0604923284051,0,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,9,0,NaN,ambig,NaN,NaN,NaN,NaN,NaN,NaN,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,10,0,NaN,ambig,NaN,NaN,NaN,NaN,NaN,NaN,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,11,1,1,ambig,45.1781577359528,-5.51898157493083,37.72327008545,37.72327008545,0,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,12,1,1,single,-14.8858788897588,-2.87587631136721,31.9836868342599,31.9836868342599,0,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,13,2,1,single,23.5853778221312,18.3192272906024,41.2077228800029,33.9432323077744,0.0193170036192782,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,14,1,1,ambig,1.72200280940284,-2.48020123749473,32.960056456976,32.960056456976,0,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,15,1,1,single,-16.9921469906719,-2.97878539369125,27.5954258293155,27.5954258293155,0,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,16,0,NaN,ambig,NaN,NaN,NaN,NaN,NaN,NaN,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,17,1,1,ambig,45.1153044515856,1.69409537267765,38.7426108275118,38.7426108275118,0,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,18,0,NaN,ambig,NaN,NaN,NaN,NaN,NaN,NaN,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,19,1,1,single,-24.8553499443217,-9.32972696811366,32.2615773257683,32.2615773257683,0,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,20,0,NaN,ambig,NaN,NaN,NaN,NaN,NaN,NaN,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,21,1,1,ambig,61.7492296633691,4.93863714985421,38.7707545921578,38.7707545921578,0,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,22,0,NaN,ambig,NaN,NaN,NaN,NaN,NaN,NaN,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,23,2,NaN,ambig,232.258154499921,5.19056502002056,36.618852454827,32.183311915988,0.050759514979041,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,24,0,NaN,ambig,NaN,NaN,NaN,NaN,NaN,NaN,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,25,1,1,single,-27.1555140737844,-3.72855116089995,33.0341220718809,33.0341220718809,0,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,26,1,1,single,-221.702855155814,-9.3811407547703,36.6892012306125,36.6892012306125,0,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,27,1,1,ambig,40.8014895728983,-1.53816402106348,28.9095645807331,28.9095645807331,0,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,28,0,NaN,ambig,NaN,NaN,NaN,NaN,NaN,NaN,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,29,1,1,single,-135.545739087547,10.2786372897607,36.6802854660504,36.6802854660504,0,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,30,2,NaN,ambig,-8.81018705331852,2.17315387445726,40.1475753455248,29.3780320772083,0.110045485495364,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,31,1,1,single,-77.9391439059945,-3.94858308822017,33.3635329687601,33.3635329687601,0,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,32,1,1,single,-76.6048551177396,-9.44377946331572,40.3441893944259,40.3441893944259,0,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,33,0,NaN,ambig,NaN,NaN,NaN,NaN,NaN,NaN,0
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,34,1,1,ambig,24.1178835625694,4.93980970187212,35.6841011235786,35.6841011235786,0,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,35,2,NaN,ambig,50.6972850499989,-3.77649395349296,39.8946602689411,48.1174419844753,0.0171756934545692,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,36,1,1,ambig,38.4441650118939,1.11411829418152,36.3844477995494,36.3844477995494,0,NaN,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,37,2,0,dual,-0.838447207834904,2.13390258396481,37.6783982129495,30.2626499655266,0.00226141241267976,0.0947544946991457,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,38,0,NaN,ambig,NaN,NaN,NaN,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,1,1,1,ambig,3.04891949376154,-1.39021033089506,29.2152484222102,29.2152484222102,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,2,0,NaN,ambig,NaN,NaN,NaN,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,3,1,1,ambig,12.0660526120041,-3.77318485178906,30.0425762413205,30.0425762413205,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,4,2,NaN,ambig,2.16325560619907,-2.35800869185368,29.2318615827717,36.4742001863583,0.0106546424016453,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,5,1,1,ambig,7.80543448956151,-0.147646203710533,29.0257211695805,29.0257211695805,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,6,2,NaN,ambig,-20.4085754801365,8.28037243998767,28.1201932721068,36.7417635756404,0.0290433497350073,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,7,0,NaN,ambig,NaN,NaN,NaN,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,8,1,1,ambig,12.3382145341995,-2.15449135875535,31.7270325960812,31.7270325960812,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,9,1,1,single,-11.4966338565961,-4.27989928863398,30.4656870733397,30.4656870733397,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,10,1,1,ambig,30.3087445620063,-1.5008393377973,30.9314875791199,30.9314875791199,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,11,1,1,single,-6.30007393321,-6.38754760130108,28.6749129458705,28.6749129458705,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,12,1,1,single,-40.4507237620888,1.89599979839101,31.0375864983732,31.0375864983732,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,13,1,1,single,-52.2227933278586,-1.16594681512182,33.4810959343686,33.4810959343686,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,14,1,1,ambig,27.2860355289311,-8.93744868652318,32.5853093834045,32.5853093834045,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,15,1,1,single,-12.1593385532586,-0.241615307937838,32.6391481736448,32.6391481736448,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,16,0,NaN,ambig,NaN,NaN,NaN,NaN,NaN,NaN,0
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,17,1,1,single,-21.6548964152947,-8.06949742526825,35.3695354865393,35.3695354865393,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,18,1,1,single,-6.25135268945571,-6.0919381734262,27.4381430925056,27.4381430925056,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,19,1,1,single,-7.08524720049435,-3.26774508605212,27.9676757963672,27.9676757963672,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,20,1,1,single,-56.104661435387,-2.81096936194232,30.3371476847346,30.3371476847346,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,21,1,1,single,-32.5677020694097,-5.54915825733271,33.8939133931284,33.8939133931284,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,22,1,1,single,-152.786603266545,-8.62125039108374,34.3247033968816,34.3247033968816,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,23,1,1,single,-31.0199300815442,-3.18384761277371,31.1175599327522,31.1175599327522,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,24,1,1,single,-2.16824004167284,-9.93038998553403,31.9995908021347,31.9995908021347,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,25,1,1,ambig,0.35600473286406,-9.06706693557494,30.4895626720731,30.4895626720731,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,26,1,1,ambig,4.4048265160773,3.90997612820278,30.4504374173374,30.4504374173374,0,NaN,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,27,1,1,single,-12.2076830701552,-4.87561578668699,30.3419383876957,30.3419383876957,0,NaN,1
