session,group,type,channel,trial,nRidgesSig,ridgeOverlap,powerDipStat,transStartMs,transEndMs,coexistStartMs,coexistEndMs,included
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,1,1,0,0.671571662984048,306,412,218,616,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,2,1,0,NaN,NaN,NaN,496,714,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,3,1,0,NaN,NaN,NaN,2484,2732,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,4,1,0,NaN,NaN,NaN,320,550,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,5,1,0,NaN,NaN,NaN,786,1070,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,6,1,0,NaN,NaN,NaN,94,268,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,7,1,0,NaN,NaN,NaN,392,534,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,8,1,0,NaN,NaN,NaN,280,476,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,9,1,0,NaN,NaN,NaN,2892,3000,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,10,1,0,NaN,NaN,NaN,1688,1794,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,11,1,0,NaN,NaN,NaN,1684,1908,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,12,1,0,NaN,NaN,NaN,2300,2554,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,13,1,0,NaN,NaN,NaN,2202,2520,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,14,1,0,NaN,NaN,NaN,2748,3000,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,15,1,0,NaN,NaN,NaN,2332,2480,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,16,2,1,NaN,NaN,NaN,1468,1614,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,17,1,0,NaN,NaN,NaN,950,1140,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,18,1,0,NaN,NaN,NaN,364,494,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,19,1,0,NaN,NaN,NaN,1738,1988,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,20,1,0,NaN,NaN,NaN,1006,1148,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,21,1,0,NaN,NaN,NaN,468,688,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,22,1,0,NaN,NaN,NaN,2,134,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,23,1,0,NaN,NaN,NaN,2626,2774,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,24,1,0,NaN,NaN,NaN,2,136,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,25,1,0,NaN,NaN,NaN,2642,2908,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,26,1,0,NaN,NaN,NaN,2,178,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,27,1,0,NaN,NaN,NaN,138,308,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,28,1,0,NaN,NaN,NaN,2594,2732,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,29,1,0,NaN,NaN,NaN,2408,2586,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,30,1,0,NaN,NaN,NaN,72,370,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,31,1,0,NaN,NaN,NaN,2334,2506,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,32,1,0,NaN,NaN,NaN,792,960,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,33,1,0,NaN,NaN,NaN,2934,3000,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,34,1,0,NaN,NaN,NaN,2238,2576,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,35,1,0,NaN,NaN,NaN,2,186,1
