session,group,type,trial,eligible,nGoodContacts,profileSim,included
250929_Dupi_NMH_GH_1,DupiS1,Dupi,1,1,4,0.745038902629537,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,2,1,4,0.957707872580431,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,3,1,4,0.675968847844293,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,4,1,4,-0.854989421755403,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,5,1,4,0.898656938854854,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,6,1,4,-0.230010069341985,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,7,1,4,-0.347459821265505,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,8,1,4,-0.323766993502514,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,9,1,4,-0.6396529515646,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,10,1,4,-0.0912660817286062,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,11,1,4,-0.225830817252747,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,12,1,4,-0.257088216038804,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,13,1,4,0.954573998456463,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,14,1,4,-0.0250250612733541,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,15,1,4,0.91294328018618,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,16,1,4,0.706094897248478,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,17,1,4,0.415035628149654,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,18,1,4,-0.651122551975565,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,19,1,4,0.907552660963675,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,20,1,4,0.439751314400344,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,21,1,4,0.142818755442646,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,22,1,4,0.783543472890862,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,23,1,4,-0.150769978685176,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,24,1,4,-0.0100882754463104,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,25,1,4,0.280311462675977,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,26,1,4,0.893604547993072,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,27,1,4,0.155800273044684,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,28,1,4,0.577304491394104,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,29,1,4,-0.0202286293987283,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,30,1,4,0.995123085079072,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,31,1,4,0.179559398102287,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,32,1,4,-0.0847509289709616,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,33,1,4,0.361288037773939,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,34,1,4,0.635061019651312,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,35,1,4,0.327556760298545,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,36,1,4,0.935594569414746,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,37,1,4,-0.443607153824619,1
250929_Dupi_NMH_GH_1,DupiS1,Dupi,38,1,4,-0.484951533464313,1
251002_Dupi_NMH_AB_1,DupiS1,Dupi,1,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,2,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,3,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,4,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,5,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,6,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,7,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,8,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,9,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,10,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,11,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,12,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,13,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,14,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,15,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,16,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,17,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,18,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,19,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,20,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,21,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,22,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,23,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,24,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,25,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,26,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,27,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,28,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,29,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,30,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,31,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,32,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,33,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,34,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,35,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,36,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,37,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,38,0,5,,
251002_Dupi_NMH_AB_1,DupiS1,Dupi,39,0,5,NaN,0
251027_Dupi_NMH_DL_1,DupiS1,Dupi,1,1,5,0.773534894746468,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,2,1,5,0.876216039461979,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,3,1,5,0.83187513177314,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,4,1,5,0.321068600513498,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,5,1,5,0.742252239354705,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,6,1,5,0.0162287657452557,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,7,1,5,0.713171251429488,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,8,1,5,0.881675928038994,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,9,1,5,0.312403084693388,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,10,1,5,0.856524177519539,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,11,1,5,0.872645587380469,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,12,1,5,0.96742664586553,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,13,1,5,0.557483377850909,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,14,1,5,0.311097239871412,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,15,1,5,0.963930442204776,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,16,1,5,0.993900878064432,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,17,1,5,0.73310134577308,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,18,1,5,0.851090398447558,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,19,1,5,0.179176966462862,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,20,1,5,0.606462859667594,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,21,1,5,0.919257565811903,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,22,1,5,0.2349737209433,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,23,1,5,0.860865457995193,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,24,1,5,0.949513430161946,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,25,1,5,0.226143666890222,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,26,1,5,0.607502476485815,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,27,1,5,0.466125687052963,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,28,1,5,0.927628250611482,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,29,1,5,-0.00329053666925601,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,30,1,5,0.607760925335195,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,31,1,5,0.384572733440183,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,32,1,5,0.660182720680763,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,33,1,5,0.767916337351918,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,34,1,5,0.846567047300758,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,35,1,5,0.420108888848288,1
251027_Dupi_NMH_DL_1,DupiS1,Dupi,36,1,5,0.444647801514157,1
