session,group,type,bestMac,nTrials,phase_nUsed,phase_Rbar,phase_permZ,phase_permP,phase_permZ0,phase_permP0,phase_vtestP,phase_crossR,phase_crossP,beat_nUsed,beat_medLogSNR,beat_fracSig,chirp_medianC1,chirp_fracSingle,chirp_fracDual,chirp_fracAmbig,temp_corrHiLo,temp_varLatDiff,temp_nUsed,spatial_eligible,spatial_nGood,spatial_meanSim,spatial_nUsed,ridge_fracNR2,snrDb,burst_medianMs,burst_p90Ms,burst_coverage
250929_Dupi_NMH_GH_1,DupiS1,Dupi,macBP3,38,2,0.423402327666261,-0.815791488538623,0.719280719280719,1.00143705971916,0.191808191808192,0.141883214349691,NaN,NaN,0,NaN,NaN,2.98805445734823,0.263157894736842,0.0263157894736842,0.710526315789474,0.99607828233065,9005.89758179231,38,1,4,0.237902150778578,38,0.0263157894736842,11.0487337875908,49,93,0.263157894736842
251002_Dupi_NMH_AB_1,DupiS1,Dupi,macBP2,39,6,0.214445932270314,-0.670633892886342,0.728271728271728,-0.704336164750762,0.753246753246753,0.846881798137558,0.351748625140702,0.494504419836287,0,NaN,NaN,-6.27571331133285,0.512820512820513,0.0256410256410256,0.461538461538462,NaN,NaN,0,0,5,NaN,0,0,8.04285560967287,64,391,0.256410256410256
251027_Dupi_NMH_DL_1,DupiS1,Dupi,macBP2,39,9,0.322441272018287,1.38585137988995,0.100899100899101,1.85443592000758,0.02997002997003,0.0360292338198549,0.37758209714728,0.28425491632824,1,0.0803505582595765,0,0.538302160138143,0.358974358974359,0,0.641025641025641,0.994636128063074,10145.2037786775,39,1,5,0.633628713810826,39,0,8.09953840069758,44,75,0.256410256410256
250929_Dupi_NMH_GH_2,DupiS2,Dupi,macBP3,40,5,0.240931115427783,0.0787171363958401,0.453546453546454,-1.25316266311177,0.886113886113886,0.856911217421181,0.262174024438012,0.729342624493511,0,NaN,NaN,-2.44303720917635,0.375,0,0.625,0.996459473321543,7008.4,40,1,3,0.615013565750964,40,0.025,12.2763926844569,47,248,0.25
251002_Dupi_NMH_AB_2,DupiS2,Dupi,macBP2,39,10,0.0656305145947893,-1.16254942571759,0.877122877122877,-0.539866608861529,0.691308691308691,0.667147860379112,0.154418902506688,0.796119791108632,39,-0.109020070909139,0.0512820512820513,-1.72801426813522,0.358974358974359,0,0.641025641025641,0.988464544856332,20182.1754385965,39,1,2,0.0256410256410256,39,0,9.70103060647053,74,2396,0.256410256410256
250623_Dupi_NMH_KS_3,DupiS3,Dupi,macBP2,40,8,0.123622943050201,-0.771586374944754,0.754245754245754,0.458505218753922,0.334665334665335,0.350241569472021,0.360917028768903,0.36372003682766,3,0.690571011492452,0,1.12252990778082,0.3,0,0.7,0.991668047178023,15296.3692307692,40,1,5,0.313420613751622,40,0.025,9.46746357479681,61,1410,0.25
251013_Dupi_NMH_JN_2,DupiS2,Dupi,macBP2,40,5,0.273263200981135,-0.324735165720263,0.589410589410589,1.05158621116551,0.155844155844156,0.112855518325824,0.309245109162074,0.642476733440823,0,NaN,NaN,3.22396643633628,0.4,0,0.6,NaN,NaN,0,0,4,NaN,0,0,8.14728603845689,60,89,0.25
251110_Dupi_NMH_PC_1,DupiS1,Dupi,macBP1,36,5,0.2414915834107,0.424383116175762,0.314685314685315,-1.38804192974749,0.917082917082917,0.870885520105114,0.318593989299665,0.624791364993363,3,0.439986924433886,0,0.251265655448037,0.333333333333333,0,0.666666666666667,0.992734368066133,12890.1428571429,36,0,1,NaN,0,0,9.22058255141823,84,110.8,0.25
251030_Dupi_NMH_DB_1,DupiS1,Dupi,macBP1,38,2,0.111841348254983,-1.44693817321631,0.875124875124875,-0.385467002120861,0.662337662337662,0.603105122275654,NaN,NaN,0,NaN,NaN,-2.53272396408578,0.394736842105263,0,0.605263157894737,NaN,NaN,0,0,5,NaN,0,0,9.27701478664675,60,87,0.263157894736842
250818_Dupi_NMH_JH_3,DupiS3,Dupi,macBP4,39,12,0.306691402085705,1.06590081394062,0.150849150849151,-0.721807029069787,0.765234765234765,0.795886801974887,0.405553763990832,0.139094061894264,0,NaN,NaN,2.92811979503519,0.307692307692308,0,0.692307692307692,0.994201120683733,8315.94062078273,39,1,5,0.546197853108591,39,0,10.2821768412862,35,83,0.256410256410256
251120_Dupi_NMH_JL_1,DupiS1,Dupi,macBP1,40,5,0.353286061957493,0.66615365121908,0.265734265734266,-0.0135705464941803,0.502497502497502,0.480804778868102,0.6709364298708,0.102344909069663,0,NaN,NaN,-12.2541473525814,0.575,0,0.425,0.999421591627971,853.638461538462,40,1,5,0.961494788027635,40,0,9.84426928154672,57,629,0.25
251110_Dupi_NMH_PC_2,DupiS2,Dupi,macBP1,39,6,0.341057441191973,0.578362908904082,0.278721278721279,1.28100430387471,0.113886113886114,0.105732396571842,0.446250551755061,0.314889041138605,16,-0.19736107595423,0,5.91066676266595,0.333333333333333,0,0.666666666666667,0.993691679151291,10104.7611336032,39,1,2,0.692307692307692,39,0,9.42300414789501,32,805,0.256410256410256
251030_Dupi_NMH_DB_2,DupiS2,Dupi,macBP2,37,10,0.111104397806886,-0.877253006168094,0.792207792207792,-0.269382746664375,0.594405594405594,0.642216148215411,0.162286493440914,0.777245075061873,1,1.0293792257228,0,0.379829106302675,0.378378378378378,0,0.621621621621622,0.978817355129598,20793.5195195195,37,1,2,0.405405405405405,37,0,10.1753745272422,64,749.2,0.243243243243243
251120_Dupi_NMH_JL_2,DupiS2,Dupi,macBP1,39,12,0.417733488772948,2.49142516653649,0.00899100899100899,-2.80284640812507,0.999000999000999,0.998053687965071,0.588362751214503,0.0127738362646637,0,NaN,NaN,-4.90482568315941,0.461538461538462,0,0.538461538461538,NaN,NaN,0,0,5,NaN,0,0,9.58496089911274,45,647,0.256410256410256
250811_Dupi_NMH_TB_3,DupiS3,Dupi,macBP1,32,7,0.241622440967527,-0.189719977106616,0.544455544455544,-0.910331952444911,0.818181818181818,0.831424122726739,0.285931399573356,0.580692494541738,0,NaN,NaN,7.71479462018605,0.3125,0,0.6875,0.998426623919728,3240.5,32,1,5,0.627951767050972,32,0,9.2405211014065,58,90.8,0.25
250929_Dupi_NMH_GH_3,DupiS3,Dupi,macBP3,40,4,0.364025212950567,0.362009069950502,0.377622377622378,0.862673767395637,0.204795204795205,0.177317647275899,0.576715699243015,0.279089809105174,0,NaN,NaN,0.204229000849433,0.275,0,0.725,0.996392002695172,7272.65384615385,40,1,3,0.452358283240422,40,0,11.0669605154269,78,116,0.25
251002_Dupi_NMH_AB_3,DupiS3,Dupi,macBP1,39,10,0.214028302521524,0.520767488220727,0.307692307692308,0.390662535690882,0.355644355644356,0.328786570907113,0.27128480077067,0.490189241398568,0,NaN,NaN,-6.59412091504604,0.435897435897436,0,0.564102564102564,0.985873565126922,19717.2955465587,39,0,1,NaN,0,0,12.4332104545229,61,111,0.256410256410256
