session,bestMac,nTrials,retention,fracHasPeak,medGammaPeakFreq,medGammaPeakTime,medPeakBurstLen,medRidgeBurstLen,medPeakPhaseWideWin,medRidgePhaseWideWin
250623_Dupi_NMH_KS_1,macBP2,40,0.9,1,42,278,582,2246,855,830
250623_Dupi_NMH_KS_2,macBP3,40,1,1,43.5,303,490,1886,771,781
250623_Dupi_NMH_KS_3,macBP2,40,0.95,1,48,353,452,1815,760,666
250811_Dupi_NMH_TB_2,macBP2,37,0.945945945945946,1,46,370,466,2282,872,792
250811_Dupi_NMH_TB_3,macBP1,32,0.96875,1,52,386,646,2928,844,978
250811_Dupi_NMH_TPB_1,macBP1,38,0.868421052631579,1,47,284,602,2354,808,1060
250818_Dupi_NMH_JH_1,macBP2,40,0.975,1,51,270,530,2242,748,690
250818_Dupi_NMH_JH_2,macBP1,37,0.216216216216216,1,36.5,448,587,2271,908,709
250818_Dupi_NMH_JH_3,macBP4,39,1,1,46,296,502,2510,736,1006
250929_Dupi_NMH_GH_1,macBP3,38,1,1,43.5,374,433,1559,895,815
250929_Dupi_NMH_GH_2,macBP3,40,0.925,1,45,322,448,1614,844,618
250929_Dupi_NMH_GH_3,macBP3,40,0.925,1,42,260,410,1052,838,1004
251002_Dupi_NMH_AB_1,macBP2,39,0.923076923076923,1,45,348,520,2043,892,791
251002_Dupi_NMH_AB_2,macBP2,39,0.897435897435897,1,40,256,458,3384,748,712
251002_Dupi_NMH_AB_3,macBP1,39,0.58974358974359,1,39,462,744,3226,712,866
251013_Dupi_NMH_JN_2,macBP2,40,0.975,1,52,142,490,1584,850,850
251013_Dupi_NMH_JN_3,macBP5,40,0.975,1,44,314,490,4000,776,1036
251027_Dupi_NMH_DL_1,macBP2,39,1,1,44,460,488,2192,886,724
251030_Dupi_NMH_DB_1,macBP1,38,0.947368421052632,1,46.5,314,448,2181,772,772
251030_Dupi_NMH_DB_2,macBP2,37,1,1,40,482,496,3114,790,956
251110_Dupi_NMH_PC_1,macBP1,36,0.972222222222222,1,38,380,496,1814,792,882
251110_Dupi_NMH_PC_2,macBP1,39,0.846153846153846,1,37,410,598,3108,766,894
251120_Dupi_NMH_JL_1,macBP1,40,1,1,45.5,319,463,1965,879,829
251120_Dupi_NMH_JL_2,macBP1,39,1,1,45,354,488,1844,800,704
260316_Dupi_NMH_PD_1,macBP3,40,0.75,1,51,240,783,3412,1063,840
260406_Dupi_NMH_BS_1,macBP5,40,0.55,1,46,501,616,2762,828,831
260406_Dupi_NMH_BS_2,macBP4,40,0.45,1,38,157,444,931,647,458
260504_Dupi_NMH_JA_1,macBP3,40,0.975,1,46,358,578,2348,784,898
230611_OBE_NMH_AZ,macBP3,40,0.775,1,47,372,448,3014,748,820
240923_OBE_NMH_HRM,macBP2,40,1,1,37.5,278,511,3040,864,874
241017_OBE_NMH_AS,macBP2,40,1,1,50.5,312,623,3736,751,766
250310_OBE_NMH_FS,macBP1,40,1,1,46,356,685,2701,840,726
250313_OBE_NMH_CS,macBP4,39,1,1,49,400,666,4000,730,678
260326_OBE_NWU_AD_2,macBP3,60,0.933333333333333,1,44,416,550,3592,752,903
260514_OBE_NWU_BW_1,macBP2,40,0.9,1,40,453,767,4000,875,946
