task,metric,sep_raw,sep_after_1f_control
cueTask,w5_rpowZ,-1.0371952053674092,-0.7915110728862292
O15,w5_rpowZ,-0.9259647632726059,-0.6438006788877481
audiobook,w5_rpowZ,-0.3979253797752761,-0.33088734524976343
focusedBreathing,w5_rpowZ,-0.5654117217813368,-0.4859078711542826
threshTask,w5_rpowZ,-1.30242499502786,-0.9958221199512309
cueTask,w5_aucZ,-1.0371952053674098,-0.7915110728862306
O15,w5_aucZ,-0.9259647632726066,-0.6438006788877481
audiobook,w5_aucZ,-0.39792537977527837,-0.33088734524976576
focusedBreathing,w5_aucZ,-0.5654117217813384,-0.4859078711542842
threshTask,w5_aucZ,-1.3024249950278595,-0.9958221199512294
cueTask,gammaBumpDb,-0.7344080117408278,-0.6504106551158024
O15,gammaBumpDb,-0.9397287427076432,-1.0677545500844634
audiobook,gammaBumpDb,-0.5579218076074228,-0.5693525895529954
focusedBreathing,gammaBumpDb,-0.5777809914068925,-0.5430084551911228
threshTask,gammaBumpDb,-0.4982892195193192,-0.47437656129059036
cueTask,peakZ,-0.4650031223047956,-0.5012364814698156
O15,peakZ,-0.335500642592969,-0.49028463631629
audiobook,peakZ,-0.15085795385536876,-0.22948940686717376
focusedBreathing,peakZ,0.19878737604270283,0.20071008206067587
threshTask,peakZ,0.21771193662578164,-0.0764220462358365
cueTask,w2_rpowZ,-0.25738304234205495,-0.12629033607103424
O15,w2_rpowZ,-0.5980983927209793,-0.5246716684344034
audiobook,w2_rpowZ,-0.35000208135747635,-0.3253466993860734
focusedBreathing,w2_rpowZ,-0.6959559169172432,-0.7336807565203598
threshTask,w2_rpowZ,-0.27975615381610236,-0.33250380333609897
