"task","metric","control_CV","d","CI","cd_sig","d_rn","n_nonresp","ridgeFreq"
"cueTask","w5_rpowDb",0.867,-1.94,"[NA,NA]",0,-1.06,4,0
"cueTask","w4_rpowDb",0.868,-1.89,"[NA,NA]",0,-1.09,4,0
"O15","w4_rpowDb",0.899,-1.86,"[NA,NA]",0,-0.28,3,0
"cueTask","p3_rpowDb",0.847,-1.83,"[NA,NA]",0,-1.03,4,0
"focusedBreathing","w3_rpowDb",0.434,-1.81,"[NA,NA]",0,-0.64,4,0
"focusedBreathing","w2_rpowDb",0.437,-1.79,"[NA,NA]",0,-0.47,4,0
"O15","w5_rpowDb",0.968,-1.78,"[NA,NA]",0,-0.26,3,0
"O15","p3_rpowDb",0.885,-1.78,"[NA,NA]",0,-0.26,3,0
"O15","w3_rpowDb",0.91,-1.75,"[NA,NA]",0,-0.28,3,0
"cueTask","p2_rpowDb",0.838,-1.74,"[NA,NA]",0,-1.22,4,0
"cueTask","w3_rpowDb",0.882,-1.73,"[NA,NA]",0,-1.13,4,0
"O15","p4_rpowDb",0.944,-1.72,"[NA,NA]",0,-0.16,3,0
"focusedBreathing","w1_rpowDb",0.425,-1.71,"[NA,NA]",0,-0.51,4,0
"focusedBreathing","p1_rpowDb",0.435,-1.69,"[NA,NA]",0,-0.61,4,0
"O15","p2_rpowDb",0.944,-1.67,"[NA,NA]",0,-0.25,3,0
"focusedBreathing","p4_rpowDb",0.422,-1.66,"[NA,NA]",0,-0.54,4,0
"cueTask","p4_rpowDb",1.044,-1.65,"[NA,NA]",0,-1.19,4,0
"focusedBreathing","w4_rpowDb",0.555,-1.64,"[NA,NA]",0,-0.69,4,0
"cueTask","w5_bandDb",2.013,-1.62,"[NA,NA]",0,-1.37,4,0
"cueTask","w4_bandDb",2.115,-1.61,"[NA,NA]",0,-1.3,4,0
"O15","w1_rpowDb",1.514,-1.6,"[NA,NA]",0,-0.15,3,0
"focusedBreathing","p1_rpowZ",0.017,-1.6,"[NA,NA]",0,0.16,4,0
"O15","w4_bandDb",3.233,-1.6,"[NA,NA]",0,-0.27,3,0
"cueTask","p3_bandDb",1.956,-1.59,"[NA,NA]",0,-1.34,4,0
"O15","w5_bandDb",3.639,-1.59,"[NA,NA]",0,-0.38,3,0
"focusedBreathing","p2_rpowDb",0.506,-1.58,"[NA,NA]",0,-0.8,4,0
"cueTask","w3_bandDb",2.366,-1.58,"[NA,NA]",0,-1.19,4,0
"O15","p3_bandDb",3.07,-1.56,"[NA,NA]",0,-0.27,3,0
"focusedBreathing","w5_rpowDb",0.625,-1.55,"[NA,NA]",0,-0.75,4,0
"cueTask","p2_bandDb",2.219,-1.55,"[NA,NA]",0,-1.28,4,0
"focusedBreathing","w5_rfreqRaw",0.044,-1.52,"[NA,NA]",0,1.25,4,1
"focusedBreathing","w2_bandDb",2.601,-1.52,"[NA,NA]",0,-0.68,4,0
"threshTask","w4_rfreqGated",0.053,1.52,"[NA,NA]",0,0.46,4,1
"cueTask","w4_rfreqPW",0.071,1.52,"[NA,NA]",0,0.37,4,1
"O15","w2_rpowDb",1.147,-1.52,"[NA,NA]",0,-0.23,3,0
"O15","maxBurstMs",0.098,-1.51,"[NA,NA]",0,-0.94,3,0
"O15","w3_bandDb",3.296,-1.51,"[NA,NA]",0,-0.16,3,0
"O15","p1_rpowDb",1.311,-1.51,"[NA,NA]",0,-0.29,3,0
"focusedBreathing","w3_bandDb",1.625,-1.5,"[NA,NA]",0,-0.74,4,0
"O15","p4_bandDb",4.219,-1.5,"[NA,NA]",0,-0.34,3,0
