task,metric,n_ctrl,n_dupi,control_mean,control_SD,control_CV,sep_control_dupi,sep_resp_nonresp,recovery_rho_dupi,recovery_rho_resp,max_separation,control_CV_rank,goodness
O15,w3_rfreqGated__mean,11,28,41.88060032288012,2.0695837160229966,0.049416285822505984,0.9421273142683207,2.0979843076961586,0.2517166344242037,0.23518705668897225,2.0979843076961586,115,1.9991916802127874
O15,w3_rfreqRaw__mean,11,28,42.23532522069877,1.9080578133007184,0.045176823033445876,1.0872041417503278,2.070967269836561,0.24816716366851577,0.21508039122074407,2.070967269836561,96,1.9814515823513335
audiobook,w5_aucZ__mean,7,28,1.0167179196060283,0.04877835943266575,0.04797629553297413,-0.40503776532440655,-2.0273781974916796,0.12147049622672215,0.2700555367241678,2.0273781974916796,110,1.9345649382847983
audiobook,w5_rpowZ__mean,7,28,2.033435839212056,0.09755671886533128,0.047976295556567745,-0.40503776532440433,-2.0273781974916796,0.12147049622672215,0.2700555367241678,2.0273781974916796,111,1.9345649382412444
O15,w3_rfreqPW__mean,11,28,42.00609675940108,1.9954351822866843,0.047503465834220764,1.0996165519922847,1.9952180674263824,0.2360398052532486,0.18339716078596024,1.9952180674263824,108,1.904736482983769
audiobook,timeAboveMs_base__mean,7,28,1623.3194186071794,78.81468629899054,0.048551557626634934,-0.599657747680781,-1.9868296663777352,0.22298931674470734,0.5237989940488893,1.9868296663777352,114,1.8948325925668974
audiobook,w3_rfreqRaw__var,7,28,39.414478429266715,9.959530648976392,0.2526871100577189,0.7075608171773278,2.221141327624558,-0.2197618397918234,-0.33107479669987466,2.221141327624558,411,1.7731014471141295
audiobook,w3_rfreqPW__var,7,28,41.08255117468701,10.664503835874411,0.2595871855734644,0.7580447942227687,2.1149139521043736,-0.25409045829067967,-0.34678272501045265,2.1149139521043736,419,1.679053245640552
audiobook,nBursts__mean,7,28,5.599211524331337,0.8823156340181304,0.15757855012736258,-0.01607485313256984,-1.9382571405122384,-0.118992820419781,-0.10001524613617452,1.9382571405122384,320,1.6744065794057619
threshTask,w5_aucZ__mean,5,29,1.1123122215486014,0.07467575979293999,0.06713561019930003,-1.3024249950278595,-1.7404807823825867,-0.06799241595745037,0.14862116786162255,1.7404807823825867,175,1.6309836966808107
threshTask,w5_rpowZ__mean,5,29,2.224624443097203,0.14935151958587978,0.06713561022947835,-1.30242499502786,-1.7404807823825854,-0.06799241595745037,0.14862116786162255,1.7404807823825854,176,1.6309836966346853
focusedBreathing,p1_rpowZ__mean,3,27,2.1392383807554296,0.03557208377378949,0.016628387035856902,-1.6344646251951724,0.15999117513733271,0.07748137120376086,0.14969422457095444,1.6344646251951724,21,1.6077306575716581
O15,p2_rfreqRaw__mean,11,28,43.59206517159155,1.8359421666435007,0.04211643012035702,0.25614168508589047,1.650711972244599,0.22834928528259138,0.14257453695652722,1.650711972244599,78,1.5839995652443113
focusedBreathing,p2_aucZ__mean,3,27,1.1853434187095064,0.2378759191935758,0.2006810138211864,0.58692262561829,-1.8633997138698275,0.18536682477861774,0.3194862848481944,1.8633997138698275,362,1.551952344061416
O15,p2_rfreqPW__mean,11,28,43.49270875665555,2.0379594594243637,0.04685749675376666,0.27712923658891997,1.6235012802326558,0.21415140225983958,0.12977938620401835,1.6235012802326558,104,1.5508331222415868
audiobook,p2_aucZ__mean,7,28,1.4450082712015715,0.24797218639904256,0.17160606701665418,-0.07022893411655391,-1.8076628300852269,0.004401104935750803,0.03806151859870822,1.8076628300852269,337,1.5428930260562839
O15,p2_rfreqGated__mean,11,28,43.412297330516346,2.192841560463929,0.05051199073198957,0.26754013822686645,1.6121456954727862,0.1549935563317071,-0.01157656496655563,1.6121456954727862,118,1.534628552263791
cueTask,peakFreq__var,11,30,82.30283022216332,14.92320251211853,0.1813206480464209,-0.4353945617414591,1.7995975388961616,0.06458561330552778,-0.05080619708278709,1.7995975388961616,344,1.5233777060209694
audiobook,w3_rfreqGated__var,7,28,47.19577570084472,14.335673455088777,0.30374908012219504,0.777234334070576,1.9699581065946064,-0.18249915133579994,-0.2537434573247214,1.9699581065946064,477,1.5109948199618062
audiobook,dutyCycle__mean,7,28,0.2095010860731641,0.029582153259707925,0.14120286282513153,-0.7043537674086335,-1.7153661728498693,0.12264412420958902,0.2785136519683252,1.7153661728498693,311,1.5031211616516227
audiobook,timeAboveMs__mean,7,28,419.4211743184741,59.2234708259352,0.14120286349879071,-0.7043537674086332,-1.7153661728498686,0.12264412420958902,0.2785136519683252,1.7153661728498686,312,1.5031211607643205
O15,peakFreq__var,11,28,82.89807984528369,15.78871666585637,0.19045937728754492,-0.3629005954102042,1.7863329797804428,-0.018043143008080405,-0.08530100501672569,1.7863329797804428,353,1.5005408952723718
audiobook,w4_rfreqGated__var,7,28,58.31373575727566,19.592164431712842,0.3359785507985123,0.21342894912376079,1.9632915844296657,-0.1249913801753228,-0.3733653729206615,1.9632915844296657,509,1.4695532224347534
focusedBreathing,nBursts__mean,3,27,5.265911660648503,0.12859512680214152,0.024420297009290236,0.22862535216406873,-1.499203659159493,0.12161632948438414,0.20582955878506232,1.499203659159493,28,1.4634653994422928
cueTask,w2_rfreqGated__mean,11,30,45.28572507878309,1.9141978463242961,0.042269342998305044,-0.35587556065126186,1.511631964676209,0.2310729720486661,0.10478778148324837,1.511631964676209,80,1.4503275711129378
threshTask,w4_rfreqGated__mean,5,29,40.693123835296916,2.1691311870203362,0.05330461224226643,1.521439826757711,0.4630418949950093,-0.01375722034936739,-0.11962191559594011,1.521439826757711,126,1.444444284278678
focusedBreathing,w5_rfreqPW__mean,3,27,45.31781375244087,2.015835813878856,0.04448219468058074,-1.1865388312327925,1.4954916319685378,0.034981041007605115,0.08247042927751655,1.4954916319685378,92,1.431801939357983
audiobook,w3_aucZ__mean,7,28,1.0812006065453281,0.10279507034117172,0.09507492839330664,-0.9914388046535693,-1.564856901278856,0.05486710819902667,0.1588917363723851,1.564856901278856,236,1.4289952775878207
audiobook,w3_rpowZ__mean,7,28,2.1624012130906562,0.2055901406823434,0.09507492843727393,-0.9914388046535729,-1.5648569012788602,0.05486710819902667,0.1588917363723851,1.5648569012788602,237,1.4289952775304504
focusedBreathing,w5_rfreqRaw__mean,3,27,45.61347774495143,2.0041606588253296,0.043937905151361,-1.48708941649449,1.2545796348598803,0.04969269376781287,0.07554014110293533,1.48708941649449,90,1.424499876052375
cueTask,w4_rfreqPW__mean,11,30,41.334550518827925,2.946310278884195,0.07127960124958582,1.519841267996747,0.3746138921584706,0.17653400970177596,-0.05292312196123656,1.519841267996747,195,1.4187157733834752
focusedBreathing,w3_rfreqGated__var,3,27,38.72223938156109,8.266997148394163,0.21349481022312156,1.0513092593861415,1.7134157261179301,0.03890414841032718,-0.04851201722206856,1.7134157261179301,379,1.4119679059879042
focusedBreathing,freqSpan__mean,3,27,22.646782409940304,0.9582953696585219,0.04231485746052757,-0.4461244356170537,1.453817022182043,0.26350204721616566,0.22939253857863848,1.453817022182043,82,1.3947964108696387
