subject,condition,inhale_rise,inhale_fall,exhale_rise,exhale_fall,pause
AS,audiobook,0.000224213469659501,0.000140797446991956,5.94296455892976e-05,0.000148442657154297,7.24898031643016e-05
AS,focus,0.000327092084594563,0.000213083886089266,8.35081966900357e-05,0.000158768739299446,5.29445800141525e-05
TI,audiobook,7.85487546157627e-05,0.000152491365310232,5.66123325025025e-05,6.90974542797467e-05,0.000105923527764786
TI,focus,0.0001098687117286,0.000122767690905388,0.000130240858129638,0.000133770069749082,2.78116230371314e-05
CP,audiobook,0.00012332882012661,0.000157060793738048,0.000177006227149474,0.000131727968407351,7.00884731510125e-05
CP,focus,0.000208882943897545,0.000333501884879423,0.000303138054740999,0.000290949208065999,2.53213313756386e-05
AD,audiobook,0.000110352345904529,0.000600652981261982,0.000122751104718248,0.000137652564322395,0.000250338101748808
AD,focus,9.54628586398659e-05,0.000138488306765603,5.68278141531815e-05,5.72975148297846e-05,7.01068178577272e-05
BW,audiobook,0.00012627560735447,0.000161751446255202,0.000246826746466307,8.07414411632299e-05,2.31422410583898e-05
BW,focus,0.000107087758154755,0.000106609792176534,0.000139274651672058,0.000206303370540119,0.000129595014293804
RX,audiobook,5.06393259890051e-05,0.000100564042223054,0.00018885928912993,0.000170454072219593,6.99372457488841e-05
RX,focus,0.000581318263553479,6.37771453661675e-05,0.000263355278775213,0.000200452978842907,7.67832717129075e-05
