metric,family,mean_audiobook,mean_focus,mean_diff,dz,t_stat,t_p,t_p_fdr,wilcox_p,direction,median_dz,median_t_p,median_t_p_fdr,median_wilcox_p,median_direction
p3_aucZ,segment_gamma,1.2611587498129597,1.9328094433943666,-0.6716506935814068,-1.6852621487794297,-4.128032347335951,0.009102402150407087,0.7617275008489743,0.031250000000000014,higher_focus,-1.3204378223121735,0.02309257025579548,0.7449122933362949,0.031250000000000014,higher_focus
w5_rpowDb,window_gamma,3.7307560800722337,2.9666474198115855,0.764108660260648,1.332376098346975,3.263641586430387,0.022355323899716305,0.7617275008489743,0.06250000000000003,higher_audiobook,1.2471447018593795,0.02826689971015787,0.7449122933362949,0.06250000000000003,higher_audiobook
freqJitter,ridge_frequency,7.063125814557536,7.424860792057413,-0.36173497749987726,-1.0997001416657983,-2.693704217147581,0.04310726336298501,0.7617275008489743,0.06250000000000003,higher_focus,-0.6381898210863853,0.17876019374678853,0.7968967785071484,0.15625000000000006,higher_focus
breathLenMs,airflow_morphology,4189.983924406327,6367.837761808218,-2177.8538374018913,-1.048217475469698,-2.567597954369103,0.050181408109847996,0.7617275008489743,0.06250000000000003,higher_focus,-0.9687745774383714,0.06371498703359416,0.7449122933362949,0.031250000000000014,higher_focus
breathLength,airflow_morphology,4.189983924406327,6.367837761808218,-2.177853837401891,-1.048217475469698,-2.567597954369103,0.050181408109847996,0.7617275008489743,0.06250000000000003,higher_focus,-0.968774577438371,0.06371498703359427,0.7449122933362949,0.031250000000000014,higher_focus
burstLatMs,burst,295.5024201758137,340.5888885640348,-45.08646838822107,-0.9618180806214881,-2.3559635229057387,0.06507632384443159,0.7617275008489743,0.09375000000000004,higher_focus,-0.6996904167581021,0.14721803132679556,0.7968967785071484,0.1775298524121535,higher_focus
w1_rpowDb,window_gamma,2.9987191104188917,2.431547817681103,0.5671712927377885,0.9157204794486363,2.2430479216659283,0.07492750197241763,0.7617275008489743,0.09375000000000004,higher_audiobook,0.8339999373286856,0.09651472742959444,0.7449122933362949,0.09375000000000004,higher_audiobook
peakZ,gamma_power,4.802517239152341,4.73795582274599,0.06456141640635193,0.8168696316406795,2.0009137838949176,0.10182059431437708,0.7617275008489743,0.15625000000000006,higher_audiobook,-0.1047040940563806,0.8078051134364177,0.893959826677903,0.6875000000000002,higher_focus
p4_aucZ,segment_gamma,3.3774804763048767,2.5405092454357137,0.8369712308691628,0.8118391288222386,1.9885916188401045,0.10343597945239727,0.7617275008489743,0.06250000000000003,higher_audiobook,0.8595851500979602,0.0891240395740067,0.7449122933362949,0.031250000000000014,higher_audiobook
exhaleTroughMs,airflow_morphology,2102.249671650337,2701.7722238425,-599.522552192163,-0.7868512846269662,-1.9273841507895204,0.11186470096102043,0.7617275008489743,0.09375000000000004,higher_focus,-0.885100485254414,0.08234607492295865,0.7449122933362949,0.06250000000000003,higher_focus
endSymMs,airflow_morphology,4204.499343300674,5403.544447685,-1199.045104384326,-0.7868512846269662,-1.9273841507895204,0.11186470096102043,0.7617275008489743,0.09375000000000004,higher_focus,-0.885100485254414,0.08234607492295865,0.7449122933362949,0.06250000000000003,higher_focus
p1_rpowDb,segment_gamma,3.461345503255044,3.049623771877847,0.41172173137719714,0.7578106087885247,1.8562493131997668,0.12256018243920729,0.7617275008489743,0.09375000000000004,higher_audiobook,0.7992448460238247,0.10759844237079816,0.7449122933362949,0.21875000000000008,higher_audiobook
inhaleVolume,airflow_morphology,1555.6794390191462,1919.2299186312534,-363.5504796121071,-0.712791011973494,-1.745974272577115,0.14125324188193497,0.7617275008489743,0.15625000000000006,higher_focus,-0.8023870347662588,0.10654388012571107,0.7449122933362949,0.09375000000000004,higher_focus
p2_rpowDb,segment_gamma,3.9254215172945437,3.441258538527073,0.48416297876747033,0.7048522140101892,1.7265282683959717,0.1448381175800776,0.7617275008489743,0.43750000000000017,higher_audiobook,0.2711335729132118,0.5359970542829267,0.893959826677903,0.8437500000000002,higher_audiobook
freqSpan,ridge_frequency,22.4717003581055,23.109907016390178,-0.638206658284678,-0.6578680672943823,-1.611441082942183,0.16800050936702116,0.7617275008489743,0.15625000000000006,higher_focus,-0.2314219670232459,0.595305549390615,0.893959826677903,0.7127018566581784,higher_focus
w4_rpowDb,window_gamma,3.709958388081748,3.375932163041781,0.33402622503996715,0.6494763912330219,1.5908857585051215,0.17250869210640427,0.7617275008489743,0.15625000000000006,higher_audiobook,0.24131375809817723,0.58016429594487,0.893959826677903,0.8437500000000002,higher_audiobook
p4_rfreqPW,segment_gamma,43.92361441310625,45.47110983934708,-1.5474954262408314,-0.6412483054844046,-1.570731146861143,0.1770445119030149,0.7617275008489743,0.06250000000000003,higher_focus,-0.6463476385236935,0.17421983774794564,0.7968967785071484,0.031250000000000014,higher_focus
w2_rpowZ,window_gamma,1.9066630239242415,1.9760221310887434,-0.06935910716450196,-0.6390903223662363,-1.5654451893480907,0.17825336564214025,0.7617275008489743,0.21875000000000008,higher_focus,-0.11503215455141834,0.7894097249958676,0.893959826677903,0.6875000000000002,higher_focus
w2_aucZ,window_gamma,0.9533315119621207,0.9880110655443716,-0.03467955358225081,-0.639090322366233,-1.5654451893480825,0.17825336564214214,0.7617275008489743,0.21875000000000008,higher_focus,-0.11503215455142089,0.789409724995863,0.893959826677903,0.6875000000000002,higher_focus
w5_bandDb,window_gamma,-0.6044255054959382,-0.933842427464543,0.3294169219686049,0.6334201291194174,1.551556109150409,0.1814683148232694,0.7617275008489743,0.15625000000000006,higher_audiobook,0.8078351716173839,0.10474081470149177,0.7449122933362949,0.06250000000000003,higher_audiobook
p4_rfreqGated,segment_gamma,43.832448321846456,45.67470785801622,-1.8422595361697642,-0.62608489394851,-1.533588525838369,0.18571143216378186,0.7617275008489743,0.031250000000000014,higher_focus,-0.5662355383171559,0.22409531557989973,0.7968967785071484,0.09375000000000004,higher_focus
p3_rpowDb,segment_gamma,3.853886287692477,3.522679916145062,0.331206371547415,0.6240303347909358,1.52855590425595,0.18691712979714104,0.7617275008489743,0.21875000000000008,higher_audiobook,0.13336622438910148,0.7571422450620902,0.893959826677903,0.9999999999999998,higher_audiobook
p4_rfreqRaw,segment_gamma,44.01256056146656,45.47952512998363,-1.4669645685170696,-0.6215476576800198,-1.5224746121381185,0.1883842206400689,0.7617275008489743,0.09375000000000004,higher_focus,-0.5709453092777526,0.2208195218874317,0.7968967785071484,0.031250000000000014,higher_focus
p4_rpowDb,segment_gamma,3.7993832658528177,3.481554126625342,0.31782913922747574,0.5950489626496677,1.4575663304641313,0.20475335832339506,0.7818667748691611,0.21875000000000008,higher_audiobook,0.5938637316314872,0.20551660210338143,0.7968967785071484,0.21875000000000008,higher_audiobook
w2_rpowDb,window_gamma,2.9878370416954825,2.702258251735169,0.2855787899603136,0.5867132917893962,1.43714819019268,0.2101792405562261,0.7818667748691611,0.21875000000000008,higher_audiobook,0.8918095517060822,0.08065616579050443,0.7449122933362949,0.09375000000000004,higher_audiobook
w1_bandDb,window_gamma,-1.1028529240705542,-1.4071849077742444,0.3043319837036902,0.5538931693586093,1.3567556369415792,0.23289799706748682,0.8137710135368328,0.15625000000000006,higher_audiobook,0.4324900692394502,0.3378973852374208,0.893959826677903,0.3125000000000001,higher_audiobook
w3_rpowDb,window_gamma,3.8141510368900944,3.474626624033438,0.3395244128566563,0.531602837364247,1.3021556973581572,0.24961823656183574,0.8137710135368328,0.21875000000000008,higher_audiobook,0.14179352431089948,0.7424915558380946,0.893959826677903,0.8437500000000002,higher_audiobook
peakInspFlow,airflow_morphology,1.7765023554112762,1.9500716507933098,-0.17356929538203372,-0.5118655450326896,-1.2538094022416941,0.26533985109989694,0.8137710135368328,0.3125000000000001,higher_focus,-0.5221619141383913,0.25702876206901204,0.7976754684900373,0.21875000000000008,higher_focus
inhaleDuration,airflow_morphology,1.5270562098528448,1.8622392534622823,-0.3351830436094374,-0.5093907182345788,-1.2477473393845568,0.2673736148689021,0.8137710135368328,0.21875000000000008,higher_focus,-0.5576085334240084,0.23021462490206507,0.7968967785071484,0.09375000000000004,higher_focus
gammaPeakPresent,gamma_power,0.990511026293469,0.9829724360375702,0.007538590255898851,0.48312142129017016,1.1834009659691023,0.2898439038911083,0.8137710135368328,0.42267807417063546,higher_audiobook,NA,NA,NA,NA,n/a
timeAboveMs_base,burst,1620.9455499534952,1670.2180054626112,-49.272455509116035,-0.46617751196811213,-1.1418970338820729,0.3052149367037539,0.8137710135368328,0.5625000000000002,higher_focus,-0.5605012770920342,0.2281454648901933,0.7968967785071484,0.3125000000000001,higher_focus
w4_rfreqGated,window_gamma,42.83929983286144,43.78010700716509,-0.9408071743036514,-0.45794722940418486,-1.1217370411615257,0.3129360559480276,0.8137710135368328,0.43750000000000017,higher_focus,-0.2923791402155468,0.5059269408393235,0.893959826677903,0.5625000000000002,higher_focus
p2_aucZ,segment_gamma,1.4215465612008635,1.8264422113148897,-0.40489565011402623,-0.45736981926304177,-1.1203226809434168,0.3134840757724,0.8137710135368328,0.43750000000000017,higher_focus,-0.39299292495769406,0.37994335635909704,0.893959826677903,0.43750000000000017,higher_focus
w5_rfreqRaw,window_gamma,44.119338953814555,45.27707634286682,-1.1577373890522675,-0.4507005224493042,-1.1039863068065903,0.3198744825860093,0.8137710135368328,0.5625000000000002,higher_focus,-0.6166383453931135,0.19131826099307142,0.7968967785071484,0.21875000000000008,higher_focus
w5_rfreqPW,window_gamma,44.032813178099154,45.06527459271694,-1.032461414617784,-0.4358330011854204,-1.067568465970096,0.3345253784573488,0.8137710135368328,0.6875000000000002,higher_focus,-0.5305525822019264,0.25043280161870385,0.7976754684900373,0.5625000000000002,higher_focus
w5_rfreqGated,window_gamma,43.803078828550156,44.87305067840043,-1.0699718498502786,-0.4287356726906538,-1.0501836326210023,0.3417187625254808,0.8137710135368328,0.6875000000000002,higher_focus,-0.4093626001691171,0.36201987608602165,0.893959826677903,0.6875000000000002,higher_focus
w2_bandDb,window_gamma,-1.0586915455277346,-1.307181572818811,0.24849002729107647,0.41154727873008706,1.008080837919678,0.35968140603560644,0.8137710135368328,0.43750000000000017,higher_audiobook,0.5765892702033443,0.21695356254130646,0.7968967785071484,0.21875000000000008,higher_audiobook
anyBurst_base,burst,1,0.9989711934156379,0.001028806584362126,0.408248290463863,1,0.36321746764912255,0.8137710135368328,1,higher_audiobook,NA,NA,NA,NA,n/a
p1_bandDb,segment_gamma,-0.8441855250677892,-1.0886767503018482,0.24449122523405886,0.39700864872143676,0.9724686128393695,0.37548064943547643,0.8137710135368328,0.6875000000000002,higher_audiobook,0.5414663578669893,0.2420866719283181,0.7976754684900373,0.3125000000000001,higher_audiobook
p1_rpowZ,segment_gamma,2.0179092915915433,2.057156390709795,-0.03924709911825153,-0.388917237944593,-0.952648785136845,0.38451665410685937,0.8137710135368328,0.3125000000000001,higher_focus,-0.12809226200386425,0.7663705955070806,0.893959826677903,0.6875000000000002,higher_focus
w1_aucZ,window_gamma,0.9670456062016703,0.9476610962469606,0.019384509954709767,0.3878567627948641,0.9500511621351078,0.3857138785552946,0.8137710135368328,0.3125000000000001,higher_audiobook,0.3415208609229261,0.4409800636588695,0.893959826677903,0.3125000000000001,higher_audiobook
w1_rpowZ,window_gamma,1.9340912124033403,1.8953221924939212,0.03876901990941909,0.38785676279486087,0.9500511621350998,0.385713878555298,0.8137710135368328,0.3125000000000001,higher_audiobook,0.3415208609229062,0.44098006365889414,0.893959826677903,0.3125000000000001,higher_audiobook
p4_rpowZ,segment_gamma,2.003641975715116,2.076279017375115,-0.07263704165999936,-0.37689663681541274,-0.9232044459688302,0.3982637804140853,0.8137710135368328,0.5625000000000002,higher_focus,-0.33769493669915945,0.4458027705993072,0.893959826677903,0.6875000000000002,higher_focus
returnCrossMs,airflow_morphology,1485.2360238786182,1719.473261975581,-234.23723809696264,-0.36824342279722727,-0.9020084869891773,0.40840022326700315,0.8137710135368328,0.43750000000000017,higher_focus,-0.4432650129218743,0.3271313403198447,0.893959826677903,0.3125000000000001,higher_focus
exhaleStartMs,airflow_morphology,1485.2360238786182,1719.473261975581,-234.23723809696264,-0.36824342279722727,-0.9020084869891773,0.40840022326700315,0.8137710135368328,0.43750000000000017,higher_focus,-0.4432650129218743,0.3271313403198447,0.893959826677903,0.3125000000000001,higher_focus
p1_aucZ,segment_gamma,1.6201959033158553,1.7187808212589675,-0.0985849179431122,-0.3618066675123825,-0.8862417209421447,0.41607126530769944,0.8137710135368328,0.6875000000000002,higher_focus,-0.6140788905729448,0.19286542623118944,0.7968967785071484,0.15625000000000006,higher_focus
peakZ_base,gamma_power,111.85301713433262,40.428105735412444,71.42491139892017,0.359297494303176,0.8800955269033269,0.41909191001324547,0.8137710135368328,1,higher_audiobook,-1.1045011181967967,0.04250572124354747,0.7449122933362949,0.06250000000000003,higher_focus
p1_rfreqGated,segment_gamma,43.08411260829558,43.395005950892994,-0.310893342597416,-0.34476167404423164,-0.8444901842761028,0.4369259158378598,0.8137710135368328,0.43750000000000017,higher_focus,-0.055170860634809846,0.8977726784676576,0.928730357035508,1,higher_focus
maxBurstMs,burst,153.67750559805495,156.61146034426937,-2.933954746214416,-0.3382502792752882,-0.8285405895783641,0.4451002837830953,0.8137710135368328,0.6875000000000002,higher_focus,-0.13860017408192798,0.7480290301036147,0.893959826677903,0.4003808031520797,higher_focus
peakFreq,gamma_power,42.24994113700643,42.82850359705572,-0.5785624600492945,-0.3263211027567275,-0.7993201940562994,0.4603737724402165,0.8137710135368328,0.5625000000000002,higher_focus,-0.2284823326520165,0.5998509965890653,0.893959826677903,0.832107365106955,higher_focus
p2_rfreqPW,segment_gamma,43.42608701405318,44.254608141004624,-0.8285211269514386,-0.3198961531577564,-0.7835823459157207,0.46875925407766605,0.8137710135368328,0.43750000000000017,higher_focus,-0.25719543824560964,0.5563609353370635,0.893959826677903,0.6875000000000002,higher_focus
p2_rfreqGated,segment_gamma,43.17261619387627,43.993675634051975,-0.8210594401757033,-0.3148280850224775,-0.771168165002629,0.4754523113910131,0.8137710135368328,0.43750000000000017,higher_focus,-0.317697672368497,0.4716541473244117,0.893959826677903,0.6875000000000002,higher_focus
p1_rfreqPW,segment_gamma,43.236876226317435,43.44724401959917,-0.21036779328173574,-0.31134066523929393,-0.7626257660149416,0.48009803928252465,0.8137710135368328,0.43750000000000017,higher_focus,-0.07832902588220003,0.855395741481064,0.8951815899220438,1,higher_focus
w4_rfreqPW,window_gamma,43.346820203029566,44.07718292226987,-0.7303627192403054,-0.30246792502627623,-0.7408920798727751,0.4920648080589697,0.8137710135368328,0.8437500000000002,higher_focus,-0.14926566491436397,0.7296037112292968,0.893959826677903,0.8437500000000002,higher_focus
p2_rfreqRaw,segment_gamma,43.66268232471388,44.44602353058891,-0.7833412058750362,-0.30163721568551233,-0.7388572658633397,0.49319597501153833,0.8137710135368328,0.43750000000000017,higher_focus,-0.2531153513750269,0.5624157455466823,0.893959826677903,0.6875000000000002,higher_focus
w4_bandDb,window_gamma,-0.5142660159556827,-0.6889844002116541,0.17471838425597142,0.2995196564487233,0.733670326233089,0.49608775697156837,0.8137710135368328,0.6875000000000002,higher_audiobook,0.2983302022586217,0.497717341013194,0.893959826677903,0.6875000000000002,higher_audiobook
p2_bandDb,segment_gamma,-0.4352253349745236,-0.617139206523383,0.18191387154885943,0.29756849452156015,0.7288909751059939,0.49876287926451046,0.8137710135368328,0.9999999999999998,higher_audiobook,0.3337016746645171,0.4508786734505219,0.893959826677903,0.5625000000000002,higher_audiobook
w4_rfreqRaw,window_gamma,43.595994759746546,44.31753960560837,-0.7215448458618224,-0.2779384567469255,-0.68080739892658,0.5262370906993876,0.8437939557766043,0.8437500000000002,higher_focus,-0.12542757106143715,0.7710501324821648,0.893959826677903,0.9999999999999998,higher_focus
