metric,family,is_manipulation,n_subj,n_pos,n_neg,mean_logVarRatio,sd_logVarRatio,direction,varRatio_p,varRatio_p_fdr,varRatio_t_p,varRatio_t_p_fdr,varRatio_sign_p,mean_KS,mean_KS_centered,mean_IQRdiff,KS_combined_p,KS_combined_p_fdr,KS_centered_combined_p,KS_centered_combined_p_fdr
w1_rpowDb,window_gamma,FALSE,6,6,0,0.31282501508370514,0.19486722804840334,higher_focus,0.036031686218233556,0.28825348974586845,0.011045633855245809,0.46725615006164833,0.03125000000000001,0.18308415378354675,0.14638525383304862,0.751362774116809,0.03484001709727991,0.08555399012906509,0.519166389965418,1
w3_rpowDb,window_gamma,FALSE,6,6,0,0.25715089054938794,0.1811832488527307,higher_focus,0.036031686218233556,0.28825348974586845,0.01772468213666033,0.46725615006164833,0.03125000000000001,0.19021337388635964,0.1248243457464774,0.22926472244566462,0.03401614429779409,0.08555399012906509,0.9289862592594575,1
p3_aucZ,segment_gamma,FALSE,6,6,0,1.0300973104535442,0.7840577578533104,higher_focus,0.036031686218233556,0.28825348974586845,0.023514157878808162,0.46725615006164833,0.03125000000000001,0.4069547388698786,0.2268484097269437,0.46085280838730147,1.872333399433046e-10,1.5540367215294282e-8,0.0036034410142140594,0.09969520139325565
timeAboveMs_base,burst,FALSE,6,1,5,-0.09398387480145277,0.07494843950751685,higher_audiobook,0.05917206782585943,0.39448045217239625,0.027732884622670213,0.46725615006164833,0.21875000000000008,0.22543086983692578,0.2102424142984699,-26.833333333333332,0.004029795929363811,0.030406642012472392,0.0029077481173690467,0.09969520139325565
gammaBumpDb,gamma_power,FALSE,6,0,6,-0.27500124020516636,0.22258327887466928,higher_audiobook,0.036031686218233556,0.28825348974586845,0.02920350937885302,0.46725615006164833,0.03125000000000001,0.17633373885971082,0.1252168701866376,-0.061946486561984905,0.0596378766901694,0.11521669848585325,0.8947063991560177,1
p3_bandDb,segment_gamma,FALSE,6,0,6,-0.540241749734544,0.46145253167384576,higher_audiobook,0.036031686218233556,0.28825348974586845,0.03508805503460878,0.46784073379478375,0.03125000000000001,0.23991446974541802,0.16230425289838574,-0.25815931474497666,6.31569179687097e-4,0.007488605987718436,0.2607413757673256,1
w1_bandDb,window_gamma,FALSE,6,6,0,0.3665371702719679,0.34480686057794235,higher_focus,0.036031686218233556,0.28825348974586845,0.04802475039312789,0.5488542902071759,0.03125000000000001,0.22435359408581093,0.145499856659597,0.14005473678629388,3.3064153566053633e-4,0.00457387457663742,0.5187368341761114,1
p3_rpowZ,segment_gamma,FALSE,6,0,6,-0.43034856034493024,0.4409655983985857,higher_audiobook,0.036031686218233556,0.28825348974586845,0.06234804411831471,0.5887923820119043,0.03125000000000001,0.14084615760542904,0.14278644661496737,-0.2174489788627888,0.6700812730274112,0.7231690920301644,0.6294098692575474,1
p4_rpowZ,segment_gamma,FALSE,6,6,0,0.7149022319989182,0.8124837742756458,higher_focus,0.036031686218233556,0.28825348974586845,0.0836825744396191,0.5887923820119043,0.03125000000000001,0.21533892638990065,0.1618600609343247,0.19693565253994708,0.03504621282395437,0.08555399012906509,0.5240779988051629,1
w5_rfreqGated,window_gamma,FALSE,6,6,0,0.18102441651537274,0.20929602398884567,higher_focus,0.036031686218233556,0.28825348974586845,0.08765943199126863,0.5887923820119043,0.03125000000000001,0.20149791706689724,0.12785811779101489,0.06715365425680393,0.11421429726730847,0.18587817006248242,0.9578267674183442,1
w2_aucZ,window_gamma,FALSE,6,5,1,0.12149073428617353,0.14096129112457323,higher_focus,0.09349248368983569,0.5342427639419183,0.08849285094253338,0.5887923820119043,0.21875000000000008,0.1833252305934612,0.14909122610406916,0.022172693424377925,0.02982879823995166,0.08051644153166308,0.47882730794000083,1
w2_rpowZ,window_gamma,FALSE,6,5,1,0.12149073428617262,0.14096129112457442,higher_focus,0.09349248368983569,0.5342427639419183,0.08849285094253717,0.5887923820119043,0.21875000000000008,0.1833252305934612,0.14909122610406916,0.04434538684875792,0.029975094660658175,0.08051644153166308,0.4712425457388665,1
w3_rfreqRaw,window_gamma,FALSE,6,5,1,0.09782177194262602,0.11690141092083284,higher_focus,0.05917206782585943,0.39448045217239625,0.09567876207693445,0.5887923820119043,0.21875000000000008,0.17542256649948412,0.12977477177916044,0.8500000000000038,0.27357021298794604,0.3722348799672053,0.9143685104930072,1
w5_rfreqPW,window_gamma,FALSE,6,5,1,0.1823986127475835,0.23330817729324677,higher_focus,0.1422132419363925,0.6731597569831087,0.11365607104134445,0.6494632630933969,0.21875000000000008,0.1993025661287066,0.13043237106326275,0.7781998592995146,0.08874788296955027,0.1567249848185675,0.8306443646460498,1
chirpSlope2,chirp,FALSE,6,4,2,0.11766674255838638,0.1588606498589925,higher_focus,0.20841280368414858,0.6731597569831087,0.12935180878205138,0.689876313504274,0.6874999999999999,0.1883783520609178,0.12604001552148747,1.0037173856403712,0.10323130726185803,0.17486119393335137,0.898127564910994,1
w4_rpowDb,window_gamma,FALSE,6,4,2,0.17046433597752314,0.23913306847698174,higher_focus,0.20841280368414858,0.6731597569831087,0.14123005964328667,0.7061502982164334,0.6874999999999999,0.14863706752789452,0.1337098617972575,0.08696463966989991,0.5194473491887966,0.6256116416113208,0.7821382886810141,1
burstLatMs,burst,FALSE,6,4,2,0.24635762757055035,0.3699993223251917,higher_focus,0.2945073936801101,0.6731597569831087,0.16382948531315988,0.717757977856032,0.6874999999999999,0.2186086696655764,0.2900199844644289,73.16666666666667,0.3034231389346772,0.39974794494568583,2.9143797314112874e-5,0.0024189351770713685
