subject,feature_set,auc,balanced_acc,perm_p,perm_p_auc,perm_bacc_mean,perm_auc_mean,nBreath,nFocus,nAudiobook
AD,gamma_only,0.8299406276505513,0.749293186316087,0.25,0.25,0.5021911224201301,0.5027565733672603,293,162,131
AS,gamma_only,0.5279106858054227,0.5045568466621098,0.5,0.5,0.5025062656641603,0.5140502772081719,134,57,77
BW,gamma_only,0.997737556561086,0.9798265460030167,0.25,0.25,0.49754901960784315,0.4687028657616893,107,39,68
CP,gamma_only,0.9247990815154995,0.8269230769230769,0.25,0.25,0.49502487562189057,0.5120551090700345,93,26,67
RX,gamma_only,0.7270114942528735,0.5653735632183908,0.25,0.25,0.4952107279693486,0.4966475095785441,101,29,72
TI,gamma_only,0.7301331181928197,0.6992739007664381,0.25,0.25,0.4888059701492537,0.4955627269060105,141,74,67
AD,gamma_airflow,0.8189614550937706,0.7269578739044389,0.25,0.25,0.5117174001822008,0.5088822919611724,293,162,131
AS,gamma_airflow,0.48860788334472544,0.5113921166552745,0.5,0.75,0.5082402977139819,0.504442925495557,134,57,77
BW,gamma_airflow,0.9992458521870287,0.9926470588235294,0.25,0.25,0.5,0.49666918049270986,107,39,68
CP,gamma_airflow,0.9024110218140069,0.9038461538461539,0.25,0.25,0.4975124378109453,0.45742441637964026,93,26,67
RX,gamma_airflow,0.89272030651341,0.7480842911877394,0.25,0.25,0.5045498084291188,0.5274584929757343,101,29,72
TI,gamma_airflow,0.7055264219443323,0.667305365066559,0.25,0.25,0.4863520236654565,0.4679978485948635,141,74,67
