band,metric,group,n,mean_audiobook,mean_focus,dz,t_p,wilcox_p
theta,peakLatMs,Control,5,406.2,260.6,0.6640942726318674,0.21172977054136694,0.3125
theta,peakLatMs,DupiS1,10,602.9090909090909,387.2,0.49775730546580754,0.1499284289229133,0.193359375
theta,peakLatMs,DupiS2,11,457.45454545454544,512.5454545454545,-0.1344684634558779,0.6651116615494577,0.7646484374999999
theta,earlyBandMax,Control,5,3.0867261210873242,2.329761968580285,0.5638009772340982,0.2759426066951849,0.3125
theta,earlyBandMax,DupiS1,10,1.530284027285782,1.4604266100279022,0.15118625952786696,0.6439830006286711,0.625
theta,earlyBandMax,DupiS2,11,2.079477579316885,2.6801201610207555,-0.18730793056086778,0.5483466288855208,0.5195312499999999
theta,lateBandMax,Control,5,2.2994365233443426,1.650455132049813,0.18669978661675418,0.6977666176558959,0.625
theta,lateBandMax,DupiS1,10,1.8628277933152972,0.6667987642600746,0.6385351252328257,0.07421475942839387,0.10546875
theta,lateBandMax,DupiS2,11,1.4954722243629746,1.0024229647883136,0.18604700800753105,0.5509928906641124,0.9658203125000002
gamma,peakLatMs,Control,5,673.8,428.4,1.4543693823226054,0.03131445130140412,0.0625
gamma,peakLatMs,DupiS1,10,618.3636363636364,603.2,0.11527647497101982,0.7238757837661354,0.6953125
gamma,peakLatMs,DupiS2,11,673.4545454545455,487.09090909090907,0.5189374942373073,0.11596278693231511,0.20605468749999997
gamma,earlyBandMax,Control,5,1.854885459140316,2.637673077419223,-0.5815310148298857,0.26334506255118056,0.625
gamma,earlyBandMax,DupiS1,10,1.4481908380224326,1.332944516326802,0.13274786290473947,0.6844856182961632,0.556640625
gamma,earlyBandMax,DupiS2,11,0.9368154835242231,1.5536000873124882,-0.7140125656731108,0.03940402108658631,0.03222656249999999
gamma,lateBandMax,Control,5,1.776377128019925,2.3134391899688866,-0.4452832991906239,0.3757580522580303,0.4375
gamma,lateBandMax,DupiS1,10,1.717165475026506,1.8101464099339921,-0.014214350194075,0.9651289244417615,1
gamma,lateBandMax,DupiS2,11,1.8254543303752797,2.7316349590298654,-0.48401865223148594,0.13950687439450993,0.12304687499999999
