participant,band,metric,S1,S2,delta
KS,theta,peakLatMs,-156,-834,-678
KS,theta,earlyBandMax,-2.5699359064259197,-0.9510737098124502,1.6188621966134695
KS,theta,lateBandMax,0.9689999104648199,-5.38780738701119,-6.35680729747601
KS,gamma,peakLatMs,-18,430,448
KS,gamma,earlyBandMax,0.11785651421341004,0.6770233633173499,0.5591668491039399
KS,gamma,lateBandMax,0.23255154884739015,0.3040569978065102,0.07150544895912003
JH,theta,peakLatMs,64,-270,-334
JH,theta,earlyBandMax,0.56443905078378,-4.614431971868064,-5.178871022651844
JH,theta,lateBandMax,-2.26957497509352,-5.070468333959061,-2.800893358865541
JH,gamma,peakLatMs,294,478,184
JH,gamma,earlyBandMax,0.006127897596510001,-0.19181015259543402,-0.19793805019194402
JH,gamma,lateBandMax,-1.600328607689746,-1.9289209512442202,-0.3285923435544742
GH,theta,peakLatMs,590,56,-534
GH,theta,earlyBandMax,-0.046007684235089386,1.48919244730277,1.5352001315378594
GH,theta,lateBandMax,-4.5084479370177,-1.0280140697492222,3.480433867268478
GH,gamma,peakLatMs,186,-486,-672
GH,gamma,earlyBandMax,1.475154187889752,2.552863657294932,1.07770946940518
GH,gamma,lateBandMax,3.01232639358795,3.68566980283218,0.6733434092442301
AB,theta,peakLatMs,448,-132,-580
AB,theta,earlyBandMax,-2.021718495723272,8.337378887702904,10.359097383426176
AB,theta,lateBandMax,-4.764625004593273,1.7872204419101416,6.551845446503415
AB,gamma,peakLatMs,-678,-154,524
AB,gamma,earlyBandMax,-0.4750154712494399,1.640091495311488,2.115106966560928
AB,gamma,lateBandMax,0.25485351811759016,1.589395059850888,1.3345415417332978
DB,theta,peakLatMs,720,-432,-1152
DB,theta,earlyBandMax,1.2380930086194148,1.350306533496717,0.11221352487730218
DB,theta,lateBandMax,-2.026275710594663,1.19458247589115,3.2208581864858132
DB,gamma,peakLatMs,644,198,-446
DB,gamma,earlyBandMax,1.286436315562886,-0.5409250638890399,-1.827361379451926
DB,gamma,lateBandMax,0.9520836691448402,0.12741067504095982,-0.8246729941038804
PC,theta,peakLatMs,-188,-6,182
PC,theta,earlyBandMax,2.12069798911677,-2.29288802851842,-4.41358601763519
PC,theta,lateBandMax,0.40613781511927005,-0.1737783510585325,-0.5799161661778025
PC,gamma,peakLatMs,128,618,490
PC,gamma,earlyBandMax,-0.37132500214515995,0.45452400856294994,0.8258490107081099
PC,gamma,lateBandMax,-0.7849184862856979,0.244978817812751,1.029897304098449
JL,theta,peakLatMs,862,328,-534
JL,theta,earlyBandMax,-0.295704924620641,0.83508198665348,1.1307869112741211
JL,theta,lateBandMax,-0.8290579731817891,-0.22325543170222018,0.6058025414795689
JL,gamma,peakLatMs,806,484,-322
JL,gamma,earlyBandMax,-1.2340469897274597,0.684303122699849,1.9183501124273088
JL,gamma,lateBandMax,-0.6056074781426399,0.28395113751256984,0.8895586156552098
PD,theta,peakLatMs,-230,392,622
PD,theta,earlyBandMax,1.6924413826181604,1.581952950655245,-0.11048843196291536
PD,theta,lateBandMax,1.5241989754293468,1.27043361727515,-0.25376535815419676
PD,gamma,peakLatMs,-60,-24,36
PD,gamma,earlyBandMax,-0.12118120644087016,0.18908145069106008,0.31026265713193024
PD,gamma,lateBandMax,-1.6557014980347553,0.7813081713360099,2.4370096693707652
JA,theta,peakLatMs,556,582,26
JA,theta,earlyBandMax,-2.604904798530446,0.18931448143553986,2.794219279965986
JA,theta,lateBandMax,-1.52242629990504,0.44055349581424896,1.962979795719289
JA,gamma,peakLatMs,-138,4,142
JA,gamma,earlyBandMax,-0.04064798235195599,0.24682459249735,0.287472574849306
JA,gamma,lateBandMax,0.18933030172351994,4.602839135580401,4.413508833856881
