metric,family,n,mean_audiobook,mean_focus,mean_diff,t,df,p_raw,dz,direction,p_fdr
breathLenMs,airflow_morphology,6,4189.983924406327,6367.837761808218,2177.8538374018913,2.567597954369103,5,0.050181408109847996,1.048217475469698,higher_focus,0.25090704054923996
breathLength,airflow_morphology,6,4.189983924406327,6.367837761808218,2.177853837401891,2.567597954369103,5,0.050181408109847996,1.048217475469698,higher_focus,0.25090704054923996
exhaleTroughMs,airflow_morphology,6,2102.249671650337,2701.7722238425,599.522552192163,1.9273841507895204,5,0.11186470096102043,0.7868512846269662,higher_focus,0.2796617524025511
endSymMs,airflow_morphology,6,4204.499343300674,5403.544447685,1199.045104384326,1.9273841507895204,5,0.11186470096102043,0.7868512846269662,higher_focus,0.2796617524025511
inhaleVolume,airflow_morphology,6,1555.6794390191462,1919.2299186312534,363.5504796121071,1.745974272577115,5,0.14125324188193497,0.712791011973494,higher_focus,0.28250648376386994
peakInspFlow,airflow_morphology,6,1.7765023554112762,1.9500716507933098,0.17356929538203372,1.2538094022416941,5,0.26533985109989694,0.5118655450326896,higher_focus,0.3819623069555744
inhaleDuration,airflow_morphology,6,1.5270562098528448,1.8622392534622823,0.3351830436094374,1.2477473393845568,5,0.2673736148689021,0.5093907182345788,higher_focus,0.3819623069555744
returnCrossMs,airflow_morphology,6,1485.2360238786182,1719.473261975581,234.23723809696264,0.9020084869891773,5,0.40840022326700315,0.36824342279722727,higher_focus,0.45377802585222576
exhaleStartMs,airflow_morphology,6,1485.2360238786182,1719.473261975581,234.23723809696264,0.9020084869891773,5,0.40840022326700315,0.36824342279722727,higher_focus,0.45377802585222576
inhalePeakMs,airflow_morphology,6,805.8433786525314,842.641293285778,36.79791463324667,0.5324423412284955,5,0.6172217763873851,0.2173686755771101,higher_focus,0.6172217763873851
