sessID,participant,cohort,sessNum,group,condition,band,peakLatMs,earlyBandMax,lateBandMax
250623_Dupi_NMH_KS_1,KS,Dupi,1,DupiS1,audiobook,theta,616,2.49083622283415,1.363932020201
250623_Dupi_NMH_KS_1,KS,Dupi,1,DupiS1,audiobook,gamma,638,1.60994724964313,1.98222153469862
250623_Dupi_NMH_KS_1,KS,Dupi,1,DupiS1,focus,theta,772,-0.0790996835917698,2.33293193066582
250623_Dupi_NMH_KS_1,KS,Dupi,1,DupiS1,focus,gamma,656,1.72780376385654,2.21477308354601
250623_Dupi_NMH_KS_2,KS,Dupi,2,DupiS2,audiobook,theta,NaN,2.73578405445543,5.24150153287677
250623_Dupi_NMH_KS_2,KS,Dupi,2,DupiS2,audiobook,gamma,840,1.1897500951129,1.86348046163735
250623_Dupi_NMH_KS_2,KS,Dupi,2,DupiS2,focus,theta,884,1.78471034464298,-0.14630585413442
250623_Dupi_NMH_KS_2,KS,Dupi,2,DupiS2,focus,gamma,410,1.86677345843025,2.16753745944386
250623_Dupi_NMH_KS_3,KS,Dupi,3,DupiS3,audiobook,theta,428,7.16231742543177,4.68923896512315
250623_Dupi_NMH_KS_3,KS,Dupi,3,DupiS3,audiobook,gamma,88,1.38858264661556,2.27540967277986
250623_Dupi_NMH_KS_3,KS,Dupi,3,DupiS3,focus,theta,NaN,-0.0574410264813334,1.46597790194305
250623_Dupi_NMH_KS_3,KS,Dupi,3,DupiS3,focus,gamma,NaN,1.76500637889687,1.5905691381506
250811_Dupi_NMH_TB_2,TB,Dupi,2,DupiS2,audiobook,theta,518,0.90446203936596,0.987013568614907
250811_Dupi_NMH_TB_2,TB,Dupi,2,DupiS2,audiobook,gamma,196,1.34135155446744,0.619526169493198
250811_Dupi_NMH_TB_2,TB,Dupi,2,DupiS2,focus,theta,446,2.32313126253035,3.99662455292369
250811_Dupi_NMH_TB_2,TB,Dupi,2,DupiS2,focus,gamma,274,2.26823093094776,1.79951472985396
250811_Dupi_NMH_TB_3,TB,Dupi,3,DupiS3,audiobook,theta,NaN,-0.840728096966294,-0.986573616296395
250811_Dupi_NMH_TB_3,TB,Dupi,3,DupiS3,audiobook,gamma,434,1.38053576057724,0.23335428499879
250811_Dupi_NMH_TB_3,TB,Dupi,3,DupiS3,focus,theta,662,-0.00987804576595586,3.03784612842165
250811_Dupi_NMH_TB_3,TB,Dupi,3,DupiS3,focus,gamma,188,1.6809925163953,0.62708252892174
250811_Dupi_NMH_TPB_1,TB,Dupi,1,DupiS1,audiobook,theta,488,-0.368377020727952,0.258876292523466
250811_Dupi_NMH_TPB_1,TB,Dupi,1,DupiS1,audiobook,gamma,222,1.22794506729703,0.979562927937226
250818_Dupi_NMH_JH_1,JH,Dupi,1,DupiS1,audiobook,theta,432,1.25861010482611,3.94361061968606
250818_Dupi_NMH_JH_1,JH,Dupi,1,DupiS1,audiobook,gamma,494,1.23732641131218,2.11217022475966
250818_Dupi_NMH_JH_1,JH,Dupi,1,DupiS1,focus,theta,368,1.82304915560989,1.67403564459254
250818_Dupi_NMH_JH_1,JH,Dupi,1,DupiS1,focus,gamma,200,1.24345430890869,0.511841617069914
250818_Dupi_NMH_JH_2,JH,Dupi,2,DupiS2,audiobook,theta,504,4.22127567432861,4.27267790553428
250818_Dupi_NMH_JH_2,JH,Dupi,2,DupiS2,audiobook,gamma,528,0.232456011939553,2.97802580325198
250818_Dupi_NMH_JH_2,JH,Dupi,2,DupiS2,focus,theta,774,-0.393156297539454,-0.797790428424781
250818_Dupi_NMH_JH_2,JH,Dupi,2,DupiS2,focus,gamma,NaN,0.040645859344119,1.04910485200776
250818_Dupi_NMH_JH_3,JH,Dupi,3,DupiS3,audiobook,theta,590,2.37821347130321,0.499249685935802
250818_Dupi_NMH_JH_3,JH,Dupi,3,DupiS3,audiobook,gamma,530,1.89080493814972,1.31790605209568
250818_Dupi_NMH_JH_3,JH,Dupi,3,DupiS3,focus,theta,472,0.0403269521543602,-0.671444307606499
250818_Dupi_NMH_JH_3,JH,Dupi,3,DupiS3,focus,gamma,476,2.15041402624315,1.39939699130363
250904_OBE_NWU_TI_1,TI,OBE,1,Control,audiobook,theta,NaN,0.348475757997146,0.0519723030765715
250904_OBE_NWU_TI_1,TI,OBE,1,Control,audiobook,gamma,624,1.0198379707053,1.46887892385385
250904_OBE_NWU_TI_1,TI,OBE,1,Control,focus,theta,54,-0.111152127041008,1.18995748597171
250904_OBE_NWU_TI_1,TI,OBE,1,Control,focus,gamma,488,2.89112238251301,1.874992761699
250908_OBE_NWU_AS,AS,OBE,1,Control,audiobook,theta,560,8.2193212904906,5.34290310147679
250908_OBE_NWU_AS,AS,OBE,1,Control,audiobook,gamma,686,3.17416324987541,1.64310589683067
250908_OBE_NWU_AS,AS,OBE,1,Control,focus,theta,NaN,9.42853808116943,0.448081572732424
250908_OBE_NWU_AS,AS,OBE,1,Control,focus,gamma,196,5.71516860605513,1.820453336922
250929_Dupi_NMH_GH_1,GH,Dupi,1,DupiS1,audiobook,theta,762,4.25623482773014,4.89786997350392
250929_Dupi_NMH_GH_1,GH,Dupi,1,DupiS1,audiobook,gamma,924,0.611306243099238,1.4301471132949
250929_Dupi_NMH_GH_1,GH,Dupi,1,DupiS1,focus,theta,172,4.21022714349505,0.38942203648622
250929_Dupi_NMH_GH_1,GH,Dupi,1,DupiS1,focus,gamma,738,2.08646043098899,4.44247350688285
250929_Dupi_NMH_GH_2,GH,Dupi,2,DupiS2,audiobook,theta,756,1.42111540040891,0.382743521904497
250929_Dupi_NMH_GH_2,GH,Dupi,2,DupiS2,audiobook,gamma,256,0.508041576443338,1.39047014182844
250929_Dupi_NMH_GH_2,GH,Dupi,2,DupiS2,focus,theta,700,2.91030784771168,-0.645270547844725
250929_Dupi_NMH_GH_2,GH,Dupi,2,DupiS2,focus,gamma,742,3.06090523373827,5.07613994466062
250929_Dupi_NMH_GH_3,GH,Dupi,3,DupiS3,audiobook,theta,NaN,1.64638760965017,2.02447744852881
250929_Dupi_NMH_GH_3,GH,Dupi,3,DupiS3,audiobook,gamma,NaN,1.33125063360283,1.58821649891576
250929_Dupi_NMH_GH_3,GH,Dupi,3,DupiS3,focus,theta,656,3.92372072611416,1.3384931569319
250929_Dupi_NMH_GH_3,GH,Dupi,3,DupiS3,focus,gamma,784,0.114231307238898,0.665764998072815
