group,window_ms,n,mean_audiobook,mean_focus,focus_minus_audiobook,dz,t_p,wilcox_p
Control,0-500,7,0.188659227912306,0.334254685904433,0.145595457992127,0.230450889637375,0.564410773718633,0.8125
Control,500-1000,7,1.76326496066701,1.11000180268593,-0.653263157981082,-0.966184721623001,0.0431239328955066,0.078125
Control,1000-2000,7,1.46005683949511,1.0816364996995,-0.37842033979561,-0.452914998480193,0.275980501029837,0.375
Control,2000-3000,7,0.717149077682764,0.76920905075486,0.0520599730720964,0.0744709307451206,0.85030775501699,0.8125
Control,3000-4000,7,0.696102344023869,0.512383634303853,-0.183718709720016,-0.174256529677232,0.661009559407757,0.9375
DupiS1,0-500,10,0.0979319564119397,0.0582673277172703,-0.0396646286946693,-0.0599234334523023,0.853909940243151,0.845703125
DupiS1,500-1000,10,0.601464906192526,0.465077476456979,-0.136387429735547,-0.307705767221862,0.355952735066602,0.193359375
DupiS1,1000-2000,10,0.824260045140572,0.716625397450847,-0.107634647689725,-0.101788865778291,0.754890589907931,0.6953125
DupiS1,2000-3000,10,0.78472195146922,0.490569588780198,-0.294152362689022,-0.429688056590424,0.207287139505689,0.064453125
DupiS1,3000-4000,10,0.323591248315974,0.392081747578456,0.0684904992624824,0.0787749040108136,0.808869072985137,0.845703125
DupiS2,0-500,11,-0.252934856422593,0.231939410215648,0.484874266638241,0.75163702272439,0.0318317910034215,0.0322265625
DupiS2,500-1000,11,0.884917948132439,0.910454272499067,0.0255363243666281,0.0142579465839281,0.963214564235037,0.9658203125
DupiS2,1000-2000,11,0.81591392513517,1.09851296140617,0.282599036270996,0.227398323884614,0.468119899067166,0.5771484375
DupiS2,2000-3000,11,0.852224981616599,1.06206524668667,0.209840265070072,0.161445311989614,0.604039555549776,0.7646484375
DupiS2,3000-4000,11,0.426236204773731,0.967094311564366,0.540858106790635,0.457667914684285,0.159996328008819,0.2060546875
DupiS3,0-500,6,-0.0771339495681669,-0.105640043461267,-0.0285060938931003,-0.0406645472523214,0.924526440509177,0.84375
DupiS3,500-1000,6,0.870041000481857,0.745191602787264,-0.124849397694593,-0.1403340967719,0.745020132612741,0.6875
DupiS3,1000-2000,6,0.986044311345823,0.565243008422854,-0.420801302922969,-0.380091036111762,0.394572754489132,0.6875
DupiS3,2000-3000,6,0.730389426814452,0.076347860877579,-0.654041565936873,-0.484429991024131,0.288685806725233,0.21875
DupiS3,3000-4000,6,-0.0491925143657873,0.0821697187023361,0.131362233068123,0.18411634926959,0.670881338116759,1
