subject,band,cond,peakLatMs,peakVal,riseSlope,centroidMs
AS,theta,audiobook,682,1.88150205477956,2.41129514368522,601.390153789442
TI,theta,audiobook,412,0.36059353951107,1.40260777561646,430.237916184292
AD,theta,audiobook,950,2.2123008710588,2.2905975873795,755.756088076854
BW,theta,audiobook,700,0.274891770862797,0.0725130812988805,691.074348639834
RX,theta,audiobook,428,0.24931291545099,0.23933369981128,462.493298012744
AS,theta,focus,316,1.14099081570811,4.69151657984161,530.307892480821
TI,theta,focus,950,1.17532770357107,0.483824296010931,547.888586703209
AD,theta,focus,572,0.715358290779035,0.881895720632316,636.613195679746
BW,theta,focus,176,1.11961379966722,5.90214504384853,412.136736675788
RX,theta,focus,102,0.664202461389032,1.34354898447331,290.674138331285
AS,gamma,audiobook,686,8.80801199356704,7.82829844590739,673.406708664711
TI,gamma,audiobook,624,2.25563284259415,2.51995003052263,726.408962403464
AD,gamma,audiobook,746,5.27267461386515,4.0615425193284,639.608802937291
BW,gamma,audiobook,856,3.71568295376904,3.52745958081147,707.918415937111
RX,gamma,audiobook,562,0.445210064426574,0.302681291113505,575.820472268694
AS,gamma,focus,196,8.53315466003731,35.2092186281697,502.008159776672
TI,gamma,focus,488,1.39163316193984,3.48686783069306,618.958792847402
AD,gamma,focus,800,1.75935323607528,2.87015268708485,614.868769612247
BW,gamma,focus,518,2.37737223925977,3.95499020194282,665.925910313331
RX,gamma,focus,492,0.644001403722122,0.0740119693765799,680.89138022591
