"contrast","band","phase","estimate","SE","df","t.ratio","p.value","p_holm"
"olf - nonolf","high","inhaleRise",0.148010193302067,0.0491860729110775,386.788603627221,3.00918907613648,0.00279098641059234,0.0223278912847387
"olf - nonolf","high","peakToExh",-0.0195331123198579,0.0491860729110775,386.7886036272,-0.397126893118128,0.691492932113778,1
"olf - nonolf","high","exhaleFall",-0.0499106644671949,0.0491860729110775,386.7886036272,-1.01473164075179,0.31086808863333,1
"olf - nonolf","high","troughToPause",-0.0778303921693003,0.0491860729110775,386.78860362721,-1.58236646194561,0.11438324570259,0.571916228512952
"olf - nonolf","high","pause",0.0931327710329869,0.0496629010125182,387.307417219914,1.87529864615665,0.0615038034931511,0.369022820958907
"olf - nonolf","low","inhaleRise",0.0078478634799995,0.0491860729110775,386.7886036272,0.159554585587418,0.873315240082878,1
"olf - nonolf","low","peakToExh",0.159099184850418,0.0491860729110775,386.7886036272,3.23463890150471,0.00132270507538869,0.0119043456784982
"olf - nonolf","low","exhaleFall",0.345281845897702,0.0491860729110775,386.7886036272,7.01991082967592,1.00223260104263e-11,1.00223260104263e-10
"olf - nonolf","low","troughToPause",0.133367054431546,0.0491860729110775,386.7886036272,2.71148002957376,0.00699704272233266,0.0489792990563286
"olf - nonolf","low","pause",0.0412822410674423,0.0496629010125182,387.307417219914,0.831249085852568,0.406345090472896,1
