sessID,block,category,medDurMs_1,medDurMs_2,medDurMs_3,medDurMs_4,medDurMs_5
250908_OBE_NWU_AS,audiobook,nonolf,688,616,518,864,1026
250908_OBE_NWU_AS,focusedBreathing,nonolf,682,687,562,907,1106
250904_OBE_NWU_TI_1,audiobook,nonolf,683,647,540,1076,765
250904_OBE_NWU_TI_1,focusedBreathing,nonolf,651,515,556,918,1296
260326_OBE_NWU_AD_1,audiobook,nonolf,696,818,772,1474,0
260326_OBE_NWU_AD_1,focusedBreathing,nonolf,774,997,1222,1637,434
260326_OBE_NWU_AD_2,audiobook,nonolf,704,998,782,1782,499
260326_OBE_NWU_AD_2,focusedBreathing,nonolf,700,1026,814,1912,0
260514_OBE_NWU_BW_1,audiobook,nonolf,867,806,499,1838,516
260514_OBE_NWU_BW_1,focusedBreathing,nonolf,1102,2188,712,1530,958
260608_OBE_NWU_RX_1,audiobook,nonolf,637,736,553,1001,359
260608_OBE_NWU_RX_1,focusedBreathing,nonolf,792,938,738,1192,2186
230611_OBE_NMH_AZ,cueTask,olf,355,481,1254,4834,24
241017_OBE_NMH_AS,cueTask,olf,216,637,1285,5713,0
240923_OBE_NMH_HRM,cueTask,olf,306,510,1241,4192,25
250310_OBE_NMH_FS,cueTask,olf,310,424,1270,2449,55
250313_OBE_NMH_CS,cueTask,olf,242,626,1040,5666,0
260326_OBE_NWU_AD_2,cueTask,olf,296,917,1716,4868,0
260514_OBE_NWU_BW_1,cueTask,olf,418,730,1037,2252,27
260702_OBE_NWU_SP_2,cueTask,olf,458,970,547,2644,19
260622_OBE_NWU_RC_1,cueTask,olf,238,1249,589,5379,0
260720_OBE_NWU_KA_2,cueTask,olf,298,1183,522,3497,80
260514_OBE_NWU_BW_1,threshTask,olf,494,744,901,3886,30
260608_OBE_NWU_RX_1,threshTask,olf,329,603,393,521,10
260625_OBE_NWU_HM_2,threshTask,olf,288,1042,692,5962,0
260702_OBE_NWU_SP_2,threshTask,olf,458,984,826,3522,22
260720_OBE_NWU_KA_2,threshTask,olf,238,1336,506,5316,0
250225_OBE_NWU_AS_4,O15,olf,335,483,820,2336,9
250908_OBE_NWU_AS,O15,olf,420,696,1260,2408,42
250904_OBE_NWU_TI_1,O15,olf,348,660,912,1420,28
251006_OBE_NWU_RY_1,O15,olf,298,478,438,3076,0
251208_OBE_NWU_SP_1,O15,olf,273,550,509,1451,24
260105_OBE_NWU_ZF_1,O15,olf,266,304,193,3376,0
260326_OBE_NWU_AD_2,O15,olf,266,836,1080,3732,0
260514_OBE_NWU_BW_1,O15,olf,414,897,1164,1472,20
260702_OBE_NWU_SP_2,O15,olf,356,741,311,1605,18
260608_OBE_NWU_RX_1,cueTask,olf,236,449,761,397,11
260608_OBE_NWU_RX_1,O15,olf,227,464,380,1086,13
260625_OBE_NWU_HM_2,audiobook,nonolf,888,791,417,1403,1877
260625_OBE_NWU_HM_2,focusedBreathing,nonolf,981,1250,925,1080,2577
260702_OBE_NWU_SP_2,audiobook,nonolf,624,564,438,1136,0
260702_OBE_NWU_SP_2,focusedBreathing,nonolf,677,758,526,1492,0
