sessID,participant,block,category,band,phase,phaseIdx,medZ,nEvents,nBreaths
250908_OBE_NWU_AS,AS,audiobook,nonolf,high,inhaleRise,1,-0.208277706801892,77,77
250908_OBE_NWU_AS,AS,audiobook,nonolf,high,peakToExh,2,0.0747693756776163,77,77
250908_OBE_NWU_AS,AS,audiobook,nonolf,high,exhaleFall,3,0.0449687306417758,77,77
250908_OBE_NWU_AS,AS,audiobook,nonolf,high,troughToPause,4,-0.132261760555254,77,77
250908_OBE_NWU_AS,AS,audiobook,nonolf,high,pause,5,-0.338703463247382,76,77
250908_OBE_NWU_AS,AS,audiobook,nonolf,low,inhaleRise,1,-0.331720247515467,77,77
250908_OBE_NWU_AS,AS,audiobook,nonolf,low,peakToExh,2,-0.431632202858557,77,77
250908_OBE_NWU_AS,AS,audiobook,nonolf,low,exhaleFall,3,-0.440667531168406,77,77
250908_OBE_NWU_AS,AS,audiobook,nonolf,low,troughToPause,4,-0.416448069149533,77,77
250908_OBE_NWU_AS,AS,audiobook,nonolf,low,pause,5,-0.279374999419338,76,77
250908_OBE_NWU_AS,AS,focusedBreathing,nonolf,high,inhaleRise,1,-0.152096265277902,60,60
250908_OBE_NWU_AS,AS,focusedBreathing,nonolf,high,peakToExh,2,0.123102624354034,60,60
250908_OBE_NWU_AS,AS,focusedBreathing,nonolf,high,exhaleFall,3,0.0310916809119747,60,60
250908_OBE_NWU_AS,AS,focusedBreathing,nonolf,high,troughToPause,4,-0.131444570025621,60,60
250908_OBE_NWU_AS,AS,focusedBreathing,nonolf,high,pause,5,-0.31242296184016,56,60
250908_OBE_NWU_AS,AS,focusedBreathing,nonolf,low,inhaleRise,1,-0.379541856526457,60,60
250908_OBE_NWU_AS,AS,focusedBreathing,nonolf,low,peakToExh,2,-0.438900108670352,60,60
250908_OBE_NWU_AS,AS,focusedBreathing,nonolf,low,exhaleFall,3,-0.418647162780081,60,60
250908_OBE_NWU_AS,AS,focusedBreathing,nonolf,low,troughToPause,4,-0.379362530398137,60,60
250908_OBE_NWU_AS,AS,focusedBreathing,nonolf,low,pause,5,-0.331413367018138,56,60
250904_OBE_NWU_TI_1,TI,audiobook,nonolf,high,inhaleRise,1,-0.258149418701757,70,70
250904_OBE_NWU_TI_1,TI,audiobook,nonolf,high,peakToExh,2,-0.295387239855519,70,70
250904_OBE_NWU_TI_1,TI,audiobook,nonolf,high,exhaleFall,3,-0.341328094286854,70,70
250904_OBE_NWU_TI_1,TI,audiobook,nonolf,high,troughToPause,4,-0.333644114638827,70,70
250904_OBE_NWU_TI_1,TI,audiobook,nonolf,high,pause,5,-0.307759177623424,60,70
250904_OBE_NWU_TI_1,TI,audiobook,nonolf,low,inhaleRise,1,-0.401991390511106,70,70
250904_OBE_NWU_TI_1,TI,audiobook,nonolf,low,peakToExh,2,-0.280880215988015,70,70
250904_OBE_NWU_TI_1,TI,audiobook,nonolf,low,exhaleFall,3,-0.234714144558819,70,70
250904_OBE_NWU_TI_1,TI,audiobook,nonolf,low,troughToPause,4,-0.372166678109504,70,70
250904_OBE_NWU_TI_1,TI,audiobook,nonolf,low,pause,5,-0.302114247529243,60,70
250904_OBE_NWU_TI_1,TI,focusedBreathing,nonolf,high,inhaleRise,1,-0.270590313550607,74,74
250904_OBE_NWU_TI_1,TI,focusedBreathing,nonolf,high,peakToExh,2,-0.369370486109898,74,74
250904_OBE_NWU_TI_1,TI,focusedBreathing,nonolf,high,exhaleFall,3,-0.372259352075169,74,74
250904_OBE_NWU_TI_1,TI,focusedBreathing,nonolf,high,troughToPause,4,-0.385701489671399,74,74
250904_OBE_NWU_TI_1,TI,focusedBreathing,nonolf,high,pause,5,-0.311674161562978,73,74
250904_OBE_NWU_TI_1,TI,focusedBreathing,nonolf,low,inhaleRise,1,-0.444191810575208,74,74
250904_OBE_NWU_TI_1,TI,focusedBreathing,nonolf,low,peakToExh,2,-0.284060612001011,74,74
250904_OBE_NWU_TI_1,TI,focusedBreathing,nonolf,low,exhaleFall,3,-0.237115906026418,74,74
