sessID,participant,task,category,block,band,window,winMid,medZ,medZ_ninv,nBreaths
250908_OBE_NWU_AS,AS,breathingTask,nonolf,audiobook,high,0-500,250,1.24676838062781,0.142082443367995,77
250908_OBE_NWU_AS,AS,breathingTask,nonolf,audiobook,high,500-1000,750,6.09758798830877,0.694884642161032,77
250908_OBE_NWU_AS,AS,breathingTask,nonolf,audiobook,high,1000-1500,1250,5.17864469771148,0.590161335030848,77
250908_OBE_NWU_AS,AS,breathingTask,nonolf,audiobook,high,1500-2000,1750,3.87975327220238,0.44213891942135,77
250908_OBE_NWU_AS,AS,breathingTask,nonolf,audiobook,low,0-500,250,0.348634734339524,0.0397306152991849,77
250908_OBE_NWU_AS,AS,breathingTask,nonolf,audiobook,low,500-1000,750,-0.251345125815501,-0.0286434354282548,77
250908_OBE_NWU_AS,AS,breathingTask,nonolf,audiobook,low,1000-1500,1250,-2.08940761929827,-0.238110096754391,77
250908_OBE_NWU_AS,AS,breathingTask,nonolf,audiobook,low,1500-2000,1750,-2.40132758385898,-0.273656675724999,77
250908_OBE_NWU_AS,AS,breathingTask,nonolf,focusedBreathing,high,0-500,250,2.19834480865482,0.276965412365263,63
250908_OBE_NWU_AS,AS,breathingTask,nonolf,focusedBreathing,high,500-1000,750,3.0798658109237,0.388026619388305,63
250908_OBE_NWU_AS,AS,breathingTask,nonolf,focusedBreathing,high,1000-1500,1250,2.00350783055119,0.252418260448047,63
250908_OBE_NWU_AS,AS,breathingTask,nonolf,focusedBreathing,high,1500-2000,1750,2.04776308860097,0.257993898876937,63
250908_OBE_NWU_AS,AS,breathingTask,nonolf,focusedBreathing,low,0-500,250,1.91082413730849,0.240741212690372,63
250908_OBE_NWU_AS,AS,breathingTask,nonolf,focusedBreathing,low,500-1000,750,-1.594658058859,-0.200908030948853,63
250908_OBE_NWU_AS,AS,breathingTask,nonolf,focusedBreathing,low,1000-1500,1250,-1.19599139049586,-0.150680751877446,63
250908_OBE_NWU_AS,AS,breathingTask,nonolf,focusedBreathing,low,1500-2000,1750,-1.01749050094776,-0.128191753660872,63
250904_OBE_NWU_TI_1,TI,breathingTask,nonolf,audiobook,high,0-500,250,-0.178328750318356,-0.0211637290006456,71
250904_OBE_NWU_TI_1,TI,breathingTask,nonolf,audiobook,high,500-1000,750,1.09647213627161,0.130127302004778,71
250904_OBE_NWU_TI_1,TI,breathingTask,nonolf,audiobook,high,1000-1500,1250,-0.356362269030366,-0.0422924204557582,71
250904_OBE_NWU_TI_1,TI,breathingTask,nonolf,audiobook,high,1500-2000,1750,-0.218549299758571,-0.0259370300364583,71
250904_OBE_NWU_TI_1,TI,breathingTask,nonolf,audiobook,low,0-500,250,-0.710889230878494,-0.0843670300214132,71
250904_OBE_NWU_TI_1,TI,breathingTask,nonolf,audiobook,low,500-1000,750,-1.53739572435795,-0.182455304705367,71
250904_OBE_NWU_TI_1,TI,breathingTask,nonolf,audiobook,low,1000-1500,1250,1.72550691971269,0.20477999634016,71
250904_OBE_NWU_TI_1,TI,breathingTask,nonolf,audiobook,low,1500-2000,1750,0.793588526180948,0.0941816307024642,71
250904_OBE_NWU_TI_1,TI,breathingTask,nonolf,focusedBreathing,high,0-500,250,-0.147457677155429,-0.017141606783967,74
250904_OBE_NWU_TI_1,TI,breathingTask,nonolf,focusedBreathing,high,500-1000,750,0.17546552969214,0.0203974535076448,74
250904_OBE_NWU_TI_1,TI,breathingTask,nonolf,focusedBreathing,high,1000-1500,1250,-1.64271685156426,-0.190961955119026,74
250904_OBE_NWU_TI_1,TI,breathingTask,nonolf,focusedBreathing,high,1500-2000,1750,-1.50858160171839,-0.175369049052132,74
250904_OBE_NWU_TI_1,TI,breathingTask,nonolf,focusedBreathing,low,0-500,250,-0.154079423372719,-0.0179113691460878,74
250904_OBE_NWU_TI_1,TI,breathingTask,nonolf,focusedBreathing,low,500-1000,750,-1.06943797694929,-0.124319639603322,74
250904_OBE_NWU_TI_1,TI,breathingTask,nonolf,focusedBreathing,low,1000-1500,1250,2.31115254402524,0.268666026019705,74
250904_OBE_NWU_TI_1,TI,breathingTask,nonolf,focusedBreathing,low,1500-2000,1750,-0.510368173519553,-0.0593290950616439,74
260326_OBE_NWU_AD_1,AD,breathingTask,nonolf,audiobook,high,0-500,250,1.41061319466502,0.161808430630786,76
260326_OBE_NWU_AD_1,AD,breathingTask,nonolf,audiobook,high,500-1000,750,5.38067913083605,0.617206225761385,76
260326_OBE_NWU_AD_1,AD,breathingTask,nonolf,audiobook,high,1000-1500,1250,10.3954715937783,1.19244237230862,76
260326_OBE_NWU_AD_1,AD,breathingTask,nonolf,audiobook,high,1500-2000,1750,0.492729058407242,0.0565198992669242,76
260326_OBE_NWU_AD_1,AD,breathingTask,nonolf,audiobook,low,0-500,250,0.613672655988334,0.0703930813649302,76
260326_OBE_NWU_AD_1,AD,breathingTask,nonolf,audiobook,low,500-1000,750,5.52337190812565,0.633574209871346,76
260326_OBE_NWU_AD_1,AD,breathingTask,nonolf,audiobook,low,1000-1500,1250,27.3151511900834,3.13326272802916,76
260326_OBE_NWU_AD_1,AD,breathingTask,nonolf,audiobook,low,1500-2000,1750,0.335914116963976,0.0385319918303862,76
260326_OBE_NWU_AD_1,AD,breathingTask,nonolf,focusedBreathing,high,0-500,250,0.131266258777537,0.0129972963604319,102
260326_OBE_NWU_AD_1,AD,breathingTask,nonolf,focusedBreathing,high,500-1000,750,1.14316267127243,0.113189971018305,102
260326_OBE_NWU_AD_1,AD,breathingTask,nonolf,focusedBreathing,high,1000-1500,1250,0.551490362068842,0.054605682697778,102
260326_OBE_NWU_AD_1,AD,breathingTask,nonolf,focusedBreathing,high,1500-2000,1750,-0.367537699809911,-0.0363916550418082,102
