sess,cond,gatedFreq,nBreath
AS,baseline,44.2857142857143,77
AS,ATB,44.0559610705596,63
TI,baseline,40.984496124031,71
TI,ATB,42.9800617615467,74
AD,baseline,43.3020996494369,76
AD,ATB,43.3190967362947,102
AD,baseline,43.6983904131594,58
AD,ATB,44.251677852349,61
BW,baseline,44.6816950464396,68
BW,ATB,44.2534113060429,39
RX,baseline,43.5835189309577,75
RX,ATB,43.9872448979592,31
HM,baseline,44.4936179273514,56
HM,ATB,44.6608328689514,44
SP,baseline,43.0289389067524,105
SP,ATB,43.4010414310061,78
