sess,cond,itpc,nMatched
AS,baseline,0.0794573560651752,63
AS,ATB,0.0377518076518844,63
TI,baseline,0.0602445107484017,71
TI,ATB,0.170093530985904,71
AD,baseline,0.170020498004303,76
AD,ATB,0.10547249690671,76
AD,baseline,0.0922717568867323,58
AD,ATB,0.0899717097423732,58
BW,baseline,0.146703889542688,39
BW,ATB,0.100516999736238,39
RX,baseline,0.14870970396888,31
RX,ATB,0.18599452812141,31
HM,baseline,0.173640378165496,44
HM,ATB,0.113601328490184,44
SP,baseline,0.101506017179154,78
SP,ATB,0.049346077373067,78
