sess,cond,thetaZ_mean,thetaZ_max
AS,baseline,2.11070365189068,7.41899923234358
AS,ATB,9.11336266498507,10
TI,baseline,-0.502445470941694,-0.0943546344968992
TI,ATB,0.185035211426968,2.09162594111936
AD,baseline,1.10188554292822,3.46470555633958
AD,ATB,-0.707434447423673,0.897929116726062
AD,baseline,-0.327915467073473,1.0633745192763
AD,ATB,-0.541856523955416,-0.469145092206388
BW,baseline,-0.369523314417774,0.104340646457818
BW,ATB,0.261120115133958,0.825084646385109
RX,baseline,1.27945574530748,2.26654893786191
RX,ATB,-0.458574978616169,0.224795319268895
HM,baseline,-3.35145005127131,-1.44140668540975
HM,ATB,-2.03707845212505,-0.991527224050427
SP,baseline,0.0289575536454521,0.658954158468355
SP,ATB,2.48446935470362,3.17084892339144
