elementID,suggestedLabel,onsetSec,peakSec,offsetSec,durationSec,peakActivationZ
3,deep incoming rumble,0.1,0.15,0.5,0.4,2.92409011739574
1,continuous foamy hiss,1.4,1.75,1.8,0.4,1.88390234465055
3,deep incoming rumble,1.65,1.7,1.85,0.2,2.31349348286354
4,lapping water movement,5.75,5.85,5.9,0.15,1.97729736373704
2,whitewater decay,5.85,5.9,6.05,0.2,1.99934693186743
1,continuous foamy hiss,6.15,6.3,6.7,0.55,3.80593879632249
3,deep incoming rumble,6.45,6.7,6.75,0.3,1.94231990489927
3,deep incoming rumble,7.75,7.8,8.05,0.300000000000001,3.33277516973635
3,deep incoming rumble,9.2,9.9,9.95,0.75,2.41659634752196
8,deep incoming rumble,9.4,9.5,9.55,0.15,1.88888572795343
1,continuous foamy hiss,11.2,11.25,11.35,0.15,2.1765316088219
5,deep incoming rumble,13.3,13.55,13.55,0.25,2.10013276004749
2,whitewater decay,15.45,16.3,16.8,1.35,3.96799745231623
1,continuous foamy hiss,15.9,15.95,16.15,0.249999999999998,1.82376912121839
5,deep incoming rumble,16.1,16.15,16.3,0.199999999999999,2.54436284766692
10,lapping water movement,16.25,16.3,16.5,0.25,2.47829449810195
2,whitewater decay,17.4,17.6,17.65,0.25,1.69365083397243
5,deep incoming rumble,18.65,18.75,18.8,0.150000000000002,2.00565553923211
1,continuous foamy hiss,19.5,19.65,19.8,0.300000000000001,2.40444173803074
4,lapping water movement,21.15,21.25,21.3,0.150000000000002,1.91683089776961
3,deep incoming rumble,26.35,26.4,26.75,0.399999999999999,2.07178127887034
4,lapping water movement,27.2,27.35,27.4,0.199999999999999,1.97337305427811
2,whitewater decay,27.35,27.4,27.55,0.199999999999999,2.02045946470092
3,deep incoming rumble,27.35,27.4,27.6,0.25,1.99370417296006
1,continuous foamy hiss,27.6,27.75,28.15,0.549999999999997,3.73713883834308
3,deep incoming rumble,27.95,28.2,28.25,0.300000000000001,1.99474493568894
3,deep incoming rumble,28.85,29.3,29.55,0.699999999999999,3.28005494450424
3,deep incoming rumble,30.7,31.05,31.45,0.75,2.36599241208002
5,deep incoming rumble,34.6,34.75,34.8,0.199999999999996,1.57942946491419
1,continuous foamy hiss,37.4,37.4,37.65,0.25,1.81429932611743
2,whitewater decay,37.5,37.8,38.3,0.799999999999997,3.88079186336392
5,deep incoming rumble,37.6,37.65,37.8,0.199999999999996,2.33842043324732
10,lapping water movement,37.7,37.8,38,0.299999999999997,2.43426932069496
2,whitewater decay,38.9,39.1,39.1,0.200000000000003,1.74862609598271
1,continuous foamy hiss,41,41.15,41.25,0.25,2.39457898603604
7,deep incoming rumble,46.75,47.65,48.2,1.45,3.50819474871819
9,deep incoming rumble,48.05,48.15,48.2,0.150000000000006,1.66818224333039
10,lapping water movement,49.1,49.35,49.65,0.549999999999997,1.88769786711268
2,whitewater decay,49.2,49.35,50.05,0.849999999999994,2.81070052386012
9,deep incoming rumble,49.55,49.9,50.25,0.700000000000003,2.25400894857797
2,whitewater decay,50.3,50.45,50.6,0.300000000000004,3.46609990784677
1,continuous foamy hiss,50.5,50.6,50.9,0.399999999999999,2.955463128476
2,whitewater decay,50.95,51.2,51.3,0.349999999999994,2.43642525595506
10,lapping water movement,51.3,51.35,51.5,0.200000000000003,1.91705214009312
6,broadband crash,51.85,52.1,52.25,0.399999999999999,3.03712716980885
2,whitewater decay,52.1,52.45,52.6,0.5,2.03563535260184
6,broadband crash,52.65,52.7,53.05,0.399999999999999,2.08591671920466
2,whitewater decay,53.05,53.35,53.45,0.400000000000006,2.17256634733505
9,deep incoming rumble,53.75,53.8,54.25,0.5,1.93597546413809
9,deep incoming rumble,54.7,55.15,55.7,1,2.56793374052363
1,continuous foamy hiss,56.5,56.55,56.7,0.200000000000003,2.44597404325244
2,whitewater decay,56.65,56.95,57,0.350000000000001,1.91172582198232
8,deep incoming rumble,59.4,59.4,59.6,0.200000000000003,1.69373843890104
3,deep incoming rumble,60.8,60.85,61.15,0.350000000000001,2.03531287408131
2,whitewater decay,61.75,61.8,61.95,0.200000000000003,1.98415610542093
3,deep incoming rumble,61.75,61.8,62.05,0.299999999999997,1.95894527035101
1,continuous foamy hiss,62.05,62.2,62.6,0.550000000000004,3.78703120221667
3,deep incoming rumble,62.35,62.65,62.65,0.299999999999997,1.92170905470513
3,deep incoming rumble,63.3,63.7,63.95,0.650000000000006,3.31989201704064
3,deep incoming rumble,65.1,65.8,65.9,0.800000000000011,2.4511419973601
1,continuous foamy hiss,67.1,67.2,67.25,0.150000000000006,2.19863909659496
2,whitewater decay,71.65,72.2,72.75,1.09999999999999,3.83574810563462
1,continuous foamy hiss,71.8,71.85,72.1,0.299999999999997,1.84549291600763
5,deep incoming rumble,72,72.05,72.25,0.25,2.51141503727518
10,lapping water movement,72.15,72.2,72.45,0.299999999999997,2.46826680178977
1,continuous foamy hiss,72.3,72.4,72.45,0.150000000000006,2.06243454356473
2,whitewater decay,73.3,73.55,73.55,0.25,1.67581544946009
4,lapping water movement,73.75,73.85,73.95,0.200000000000003,2.04160753631606
1,continuous foamy hiss,75.45,75.55,75.7,0.25,2.38110818785893
4,lapping water movement,77.05,77.15,77.2,0.150000000000006,1.94379139136697
7,deep incoming rumble,81.2,81.25,82.6,1.39999999999999,3.55060352488605
10,lapping water movement,83.5,83.8,83.85,0.349999999999994,1.92513019556443
2,whitewater decay,83.6,83.75,84.5,0.900000000000006,2.87203530090424
9,deep incoming rumble,84.25,84.3,84.7,0.450000000000003,2.25869636359126
2,whitewater decay,84.75,84.9,85.05,0.299999999999997,3.46805153554473
1,continuous foamy hiss,84.9,85,85.35,0.449999999999989,2.87528785957456
2,whitewater decay,85.4,85.65,85.7,0.299999999999997,2.51259081538496
10,lapping water movement,85.75,85.8,85.9,0.150000000000006,1.90803592980925
9,deep incoming rumble,86,86.1,86.2,0.200000000000003,2.3011775269694
7,deep incoming rumble,86.25,86.3,86.6,0.349999999999994,2.32246449064385
6,broadband crash,86.3,86.5,86.65,0.350000000000009,3.08945928196577
2,whitewater decay,86.5,86.85,87.05,0.549999999999997,2.02937263256671
6,broadband crash,87.05,87.15,87.45,0.400000000000006,2.11589709424559
2,whitewater decay,87.45,87.8,87.85,0.399999999999991,2.23262448349448
9,deep incoming rumble,88.5,88.5,88.65,0.150000000000006,1.71278424632117
9,deep incoming rumble,89.45,89.55,90.05,0.599999999999994,2.55223543404679
1,continuous foamy hiss,90.9,91,91.1,0.199999999999989,2.46488413169324
2,whitewater decay,91.05,91.4,91.4,0.350000000000009,1.94948414637778
4,lapping water movement,96.05,96.2,96.25,0.200000000000003,1.98393814570516
2,whitewater decay,96.2,96.25,96.4,0.200000000000003,2.00606017595972
3,deep incoming rumble,96.2,96.25,96.5,0.299999999999997,2.1051357072141
1,continuous foamy hiss,96.45,96.65,97.05,0.599999999999994,3.80088369175849
6,broadband crash,96.75,96.85,96.9,0.150000000000006,1.91040433892451
3,deep incoming rumble,96.8,97.05,97.1,0.299999999999997,1.95803796764575
3,deep incoming rumble,97.7,98.15,98.4,0.700000000000003,3.32547761299948
3,deep incoming rumble,99.55,99.9,100.3,0.75,2.42172010961144
8,deep incoming rumble,99.75,99.85,99.9,0.150000000000006,1.88889532776908
1,continuous foamy hiss,101.55,101.6,101.7,0.150000000000006,2.17333094185412
5,deep incoming rumble,103.65,103.9,103.9,0.25,2.07246280843652
7,deep incoming rumble,105.1,105.2,105.25,0.150000000000006,2.39987588320249
2,whitewater decay,106.05,106.65,107.15,1.10000000000001,3.93081400834211
1,continuous foamy hiss,106.25,106.3,106.5,0.25,1.82703676352314
5,deep incoming rumble,106.45,106.5,106.65,0.200000000000003,2.5199179005704
10,lapping water movement,106.55,106.65,106.85,0.299999999999997,2.47461297474421
2,whitewater decay,107.75,107.95,108,0.25,1.71232137563298
1,continuous foamy hiss,109.85,110,110.15,0.300000000000011,2.41196180823753
7,deep incoming rumble,115.6,115.7,115.8,0.200000000000003,3.60683929914192
7,deep incoming rumble,116,116.5,117.05,1.05,3.43475940721543
10,lapping water movement,117.95,118.25,118.3,0.349999999999994,1.88195802329689
2,whitewater decay,118.05,118.2,118.9,0.850000000000009,2.85002685782221
9,deep incoming rumble,118.65,118.75,119.15,0.5,2.2596808488572
2,whitewater decay,119.15,119.3,119.45,0.299999999999997,3.4026207525202
1,continuous foamy hiss,119.35,119.45,119.75,0.400000000000006,2.96330652978255
2,whitewater decay,119.8,120.1,120.15,0.350000000000009,2.51795178553002
9,deep incoming rumble,120.45,120.55,120.65,0.200000000000003,2.3103898713086
6,broadband crash,120.7,120.95,121.1,0.399999999999991,3.08363178680126
2,whitewater decay,120.95,121.3,121.45,0.5,2.04403656063751
6,broadband crash,121.5,121.55,121.9,0.400000000000006,2.07670098355335
2,whitewater decay,121.9,122.25,122.3,0.399999999999991,2.18299695630228
9,deep incoming rumble,122.9,122.95,123.1,0.199999999999989,1.70612345980662
9,deep incoming rumble,123.55,123.65,123.7,0.150000000000006,2.35983634375823
9,deep incoming rumble,123.9,124,124.5,0.599999999999994,2.6041796126208
1,continuous foamy hiss,125.35,125.45,125.55,0.200000000000003,2.42805483915594
8,deep incoming rumble,128.25,128.25,128.45,0.199999999999989,1.62448144976417
3,deep incoming rumble,129.65,129.7,130.05,0.400000000000006,2.06446790158929
1,continuous foamy hiss,130.35,130.45,130.5,0.150000000000006,1.90708106696184
4,lapping water movement,130.5,130.65,130.7,0.199999999999989,1.96796381344378
2,whitewater decay,130.65,130.7,130.85,0.199999999999989,2.00871484645813
1,continuous foamy hiss,130.9,131.05,131.45,0.549999999999983,3.76508691292643
3,deep incoming rumble,131.25,131.5,131.65,0.400000000000006,2.03270420908088
3,deep incoming rumble,132.15,132.6,132.85,0.699999999999989,3.25655148531093
3,deep incoming rumble,134,134.65,134.75,0.75,2.38340981871012
1,continuous foamy hiss,135.95,136.05,136.1,0.150000000000006,2.20667667815296
5,deep incoming rumble,137.9,138.05,138.05,0.150000000000006,1.62322626076575
2,whitewater decay,140.25,140.55,140.6,0.349999999999994,2.14233168989666
1,continuous foamy hiss,140.7,140.7,140.95,0.25,1.82031503130695
2,whitewater decay,140.8,141.1,141.6,0.799999999999983,3.87217590919182
5,deep incoming rumble,140.9,140.9,141.1,0.199999999999989,2.3867494529045
10,lapping water movement,141,141.1,141.3,0.300000000000011,2.41281095096098
7,deep incoming rumble,141.4,141.5,141.55,0.150000000000006,2.80422993171467
2,whitewater decay,142.2,142.4,142.4,0.200000000000017,1.74776489535246
4,lapping water movement,142.65,142.7,142.8,0.150000000000006,2.04564827695971
1,continuous foamy hiss,144.3,144.45,144.55,0.25,2.38518809467302
4,lapping water movement,145.9,146,146.05,0.150000000000006,1.97545797294995
7,deep incoming rumble,150.05,150.95,151.5,1.44999999999999,3.502669456704
9,deep incoming rumble,151.35,151.45,151.5,0.150000000000006,1.66383014504878
4,lapping water movement,151.75,151.8,151.9,0.150000000000006,2.06699587538349
10,lapping water movement,152.4,152.65,152.95,0.549999999999983,1.91489407015921
2,whitewater decay,152.5,152.65,153.35,0.849999999999994,2.88813051013591
9,deep incoming rumble,152.85,153.2,153.55,0.700000000000017,2.24972447906657
2,whitewater decay,153.6,153.75,153.9,0.300000000000011,3.48146379970985
1,continuous foamy hiss,153.8,153.9,154.2,0.399999999999977,2.96444442361846
2,whitewater decay,154.25,154.5,154.6,0.349999999999994,2.43040515839852
10,lapping water movement,154.6,154.65,154.8,0.200000000000017,1.91422250690186
9,deep incoming rumble,154.85,155,155.05,0.200000000000017,2.28378258220777
6,broadband crash,155.15,155.35,155.5,0.349999999999994,3.07048938990806
2,whitewater decay,155.4,155.7,155.9,0.5,2.02101749165424
6,broadband crash,155.95,156,156.3,0.350000000000023,2.1196361143577
2,whitewater decay,156.35,156.65,156.7,0.349999999999994,2.19029748539151
9,deep incoming rumble,157.05,157.1,157.5,0.449999999999989,1.95635434511673
9,deep incoming rumble,158,158.45,159,1,2.53800410005603
2,whitewater decay,159.5,159.6,159.65,0.150000000000006,2.10786706621339
2,whitewater decay,159.95,160.25,160.3,0.350000000000023,1.93577534213071
8,deep incoming rumble,162.7,162.7,162.9,0.200000000000017,1.7100166336635
3,deep incoming rumble,164.1,164.15,164.45,0.349999999999994,2.0261190665817
4,lapping water movement,164.95,165.1,165.1,0.150000000000006,1.94962789101296
2,whitewater decay,165.05,165.1,165.25,0.199999999999989,1.99416231446288
3,deep incoming rumble,165.05,165.1,165.35,0.299999999999983,2.01510474742494
